query	subject	pident	Aln_length	mismatch	gapopen	evalue	bitscore	query_PITG	name	category	function	NSM	20H	SPO	ZOO	induced	Harab	OnlyFlag	FullName	bestByPITG	bestByAurli1	PROT	BEST
XP_002908783.1_PITG_00156	jgi|Aurli1|43132|fgenesh1_kg.4_#_25_#_isotig01301	94.8	441	23	0	0	866	156	TUBB	Tubulin-related	Tubulin beta	0.24	0.72	2.87	0.18	yes	yes	no	TUB	yes	yes		yes
XP_002900242.1_PITG_12873	jgi|Aurli1|43470|fgenesh1_kg.5_#_38_#_isotig08158	45.1	193	99	2	8.32E-42	150	12873	DAP1	Intraflagellar transport	Intraflagellar transport protein	0.55	1.38	1.79	0.29	yes	no	yes	"DAP1 (MOT45, PF13)"		yes		yes
XP_002907736.1_PITG_02853	jgi|Aurli1|45721|fgenesh1_kg.12_#_86_#_isotig07081	38.1	268	160	3	3.85E-47	158	2853	ECH1	Metabolism	EnoylCoA hydratase/isomerase	0.81	1.66	1.04	0.49	no	yes	no	ECH1		yes		yes
XP_002899758.1_PITG_13551	jgi|Aurli1|45810|fgenesh1_kg.12_#_175_#_isotig10864	38.5	179	103	5	2.47E-32	123	13551	FCK	Metabolism	Phosphagen kinase	0.21	2.07	1.26	0.45	yes	no	yes	FCK		yes	yes	yes
XP_002907607.1_PITG_02707	jgi|Aurli1|45998|fgenesh1_kg.13_#_130_#_isotig04664	27.6	301	182	11	6.8E-19	86.3	2707	SSA20	Metabolism	Chymotrypsin	1.03	1.29	0.53	1.15	no	yes	no	SSA20		yes		yes
XP_002900775.1_PITG_12155	jgi|Aurli1|46695|fgenesh1_kg.16_#_127_#_isotig10207	69.9	183	53	2	6.52E-92	265	12155	RSP12	Radial spoke	Radial spoke protein	1.34	0.85	1.5	0.31	no	yes	no	RSP12 (MOT14)	yes	yes		yes
XP_002999251.1_PITG_05629	jgi|Aurli1|47361|fgenesh1_kg.19_#_147_#_isotig02824	31	339	176	10	1.57E-31	129	5629	MOT18	Uncharacterized	non-canonical poly(A) polymerase family	1.48	1.14	0.68	0.7	no	yes	no	MOT18		yes		yes
XP_002895619.1_PITG_20610	jgi|Aurli1|49215|gw1.10.5.1	36.8	299	167	8	6.79E-51	172	20610	MOT35	Basal body	Basal body associated	ns	ns	ns	ns	ns	no	yes	"MOT35 (FAP21, BUG15)"		yes		yes
XP_002905551.1_PITG_04848	jgi|Aurli1|50826|gw1.5.60.1	56.8	118	43	2	5.81E-52	160	4848	MOT28	Uncharacterized	Uncharacterized flagella-associated protein	ns	ns	ns	ns	ns	no	yes	MOT28	yes	yes		yes
XP_002905405.1_PITG_04666	jgi|Aurli1|5124|gm1.5124_g	31.7	271	121	6	1.02E-29	120	4666	SSA13	Regulatory	Calcium-binding EF-hand protein	0.38	0.18	1.06	2.38	yes	yes	yes	SSA13	no	yes		yes
XP_002998773.1_PITG_06694	jgi|Aurli1|51985|gw1.2.167.1	45.5	77	42	0	2.45E-22	89	6694	MOT5	Intraflagellar transport	Intraflagellar transport protein	0.04	1.42	1.84	0.71	yes	no	yes	MOT5		yes		yes
XP_002897726.1_PITG_15582	jgi|Aurli1|5252|gm1.5252_g	29.2	3432	1793	93	0	1219	15582	FAP47	Protein interaction	Calponin-like actin-binding protein	0.2	0.57	1.48	1.75	yes	no	yes	FAP47	yes	yes		yes
XP_002998364.1_PITG_06195	jgi|Aurli1|52826|gw1.20.114.1	32.4	510	258	17	5.89E-63	213	6195	SSA2	Metabolism	Carboxypeptidase A	0.45	1.52	0.92	1.11	yes	no	yes	SSA2		yes		yes
XP_002908211.1_PITG_01567	jgi|Aurli1|56961|gw1.12.276.1	35.1	231	109	7	9.74E-38	131	1567	MOT39	Regulatory	IQ calmodulin-binding and zinc finger region	0.05	0.2	2.06	1.69	yes	no	yes	MOT39		yes		yes
XP_002997363.1_PITG_18714	jgi|Aurli1|58218|gw1.32.26.1	42.4	701	355	22	1.7E-177	524	18714	IFT80	Intraflagellar transport	Intraflagellar transport protein	0.1	0.38	3.3	0.22	yes	no	yes	IFT80	yes	yes		yes
XP_002903267.1_PITG_09652	jgi|Aurli1|59191|gw1.1.1056.1	72.7	44	11	1	8.61E-16	66.2	9652	DPY30	Uncharacterized	Chromatin modifying protein complex protein	0.61	0.94	1.18	1.27	no	no	no	DPY30		yes		yes
XP_002903506.1_PITG_09209	jgi|Aurli1|60924|gw1.13.387.1	57.4	636	244	7	2.11E-253	711	9209	TPR5	Protein interaction	Tetratricopeptide repeat protein	0.27	1.61	1.68	0.44	yes	no	yes	TPR5 (FAP259)	yes	yes		yes
XP_002905408.1_PITG_04669	jgi|Aurli1|61684|gw1.19.330.1	58.1	74	31	0	2.26E-25	99.4	4669	MOT16	Uncharacterized	Protein of unknown function DUF1042	0.51	1.25	1.28	0.96	yes	no	yes	MOT16		yes		yes
XP_002902994.1_PITG_08954	jgi|Aurli1|6201|gm1.6201_g	27.4	372	205	16	1.84E-18	87	8954	TT6659	Basal body	Basal body EF-hand protein	0.82	2.85	0.31	0.02	yes	no	yes	TT6659		yes		yes
XP_002906691.1_PITG_03634	jgi|Aurli1|62206|gw1.2.764.1	34	350	182	8	1.25E-57	188	3634	FAP67	Metabolism	Nucleoside diphosphate kinase	0.18	1	2.18	0.65	yes	no	yes	FAP67		yes		yes
XP_002904374.1_PITG_08216	jgi|Aurli1|62749|gw1.11.465.1	44.6	1212	545	14	3.33E-221	668	8216	FAP57	Protein interaction	WD domain protein	0.24	0.44	2.81	0.51	yes	no	yes	FAP57	yes	yes		yes
XP_002903457.1_PITG_09137	jgi|Aurli1|63667|gw1.1.1510.1	37	119	50	2	5.73E-24	88.2	9137	IFT22	Intraflagellar transport	Intraflagellar transport protein	0.36	1.19	1.79	0.66	yes	no	yes	IFT22 (FAP9)		yes		yes
XP_002909482.1_PITG_00942	jgi|Aurli1|64270|gw1.21.367.1	48.7	113	57	1	7.66E-29	109	942	DAP2	Uncharacterized	Uncharacterized flagella-associated protein	1.5	1.23	1.26	0.01	no	no	no	DAP2 (MOT 48)		yes		yes
XP_002902877.1_PITG_08808	jgi|Aurli1|64326|gw1.3.727.1	36.8	223	141	0	2.25E-41	147	8808	MOT6	Regulatory	EF-hand domain protein	1.12	1.02	1.08	0.78	no	yes	no	MOT6		yes	no	yes
XP_002998158.1_PITG_05920	jgi|Aurli1|64644|gw1.9.714.1	36.2	232	135	9	9.35E-34	122	5920	MOT50	Intraflagellar transport	Intraflagellar transport protein	1.19	0.86	0.86	1.08	no	yes	no	MOT50		yes		yes
XP_002900733.1_PITG_12109	jgi|Aurli1|65345|gw1.1.1697.1	36.9	222	136	3	4.61E-18	80.1	12109	MOT49 	Uncharacterized	Outer dynein arm protein with leucine-rich repeats	0.3	0.84	2.66	0.21	yes	no	yes	MOT49 		yes		yes
XP_002898734.1_PITG_15290	jgi|Aurli1|65371|gw1.7.777.1	41.2	906	416	22	2.39E-162	494	15290	FBB15	Uncharacterized	DUF716 domain-containing protein	0.14	0.62	3.02	0.22	yes	no	yes	FBB15	yes	yes		yes
XP_002900052.1_PITG_13419	jgi|Aurli1|65473|gw1.19.423.1	50.2	203	95	3	1.12E-68	210	13419	PACRG2	Centriole	Parkin co-regulated chaperone complex protein	0.05	0.43	1.71	1.81	yes	no	yes	PACRG2		yes		yes
XP_002998960.1_PITG_05291	jgi|Aurli1|65553|gw1.5.697.1	39.1	371	175	11	1.45E-66	215	5291	IRK1	Regulatory	Potassium channel protein	1.27	1.33	0.76	0.63	no	yes	no	IRK1		yes		yes
XP_002902769.1_PITG_08685	jgi|Aurli1|65710|gw1.8.647.1	55.7	185	76	4	5.49E-67	204	8685	POC7	Uncharacterized	Uncharacterized flagella and centriole protein	0.16	1.73	1.89	0.23	yes	no	yes	UNC119 (POC7)	yes	yes		yes
XP_002997799.1_PITG_18352	jgi|Aurli1|65782|gw1.1.1759.1	40	75	45	0	8.9E-17	69.7	18352	SSA17	Protein interaction	WW domain protein	0.19	0.67	1.94	1.19	yes	no	yes	SSA17		yes		yes
XP_002907368.1_PITG_02442	jgi|Aurli1|65933|gw1.6.770.1	55.1	127	47	2	1.89E-40	144	2442	MOT15	Metabolism	Cysteine peptidase 	ns	ns	ns	ns	ns	no	yes	MOT15		yes	no	yes
XP_002904194.1_PITG_07996	jgi|Aurli1|6602|gm1.6602_g	93.8	453	28	0	0	872	7996	TUBA	Tubulin-related	Tubulin alpha	0.16	1.14	2.29	0.42	yes	yes	no	TUBA (TUBULIN-ALPHA)	yes	yes		yes
XP_002900665.1_PITG_13145	jgi|Aurli1|66057|gw1.13.575.1	27.8	187	86	3	1.01E-16	77.4	13145	DII2	Inner dynein arm	Associates with inner arm	0.11	0.2	2.34	1.36	yes	no	yes	DII2 (FAP146)		yes		yes
XP_002900004.1_PITG_13367	jgi|Aurli1|66112|gw1.4.748.1	41.1	141	82	1	2.31E-30	113	13367	FM72	Metabolism	Adenylate cyclase-associated domain	ns	ns	ns	ns	ns	no	yes	FM72 (XRP2)		yes	no	yes
XP_002895351.1_PITG_21017	jgi|Aurli1|67298|gw1.17.494.1	31.7	4532	2556	106	0	2033	21017	HYD3	Uncharacterized	"Similar to mouse hydrocephaly protein, needed for motility"	0.09	0.77	1.84	1.29	yes	no	yes	HYD3 (HYDIN)	yes	yes		yes
XP_002997652.1_PITG_18539	jgi|Aurli1|67334|gw1.14.523.1	35.8	438	249	8	1.9E-67	224	18539	DIC5	Intraflagellar transport	IFT dynein intermediate chain	ns	ns	ns	ns	ns	no	yes	DIC5 (FAP133)	yes	yes		yes
XP_002904817.1_PITG_06833	jgi|Aurli1|67587|gw1.20.532.1	37.3	308	162	6	8.05E-64	216	6833	POC18	Centriole	RabGAP WD40 protein	0.14	0.42	0.45	2.99	yes	no	yes	POC18	yes	yes		yes
XP_002895340.1_PITG_20902	jgi|Aurli1|68209|e_gw1.1.1591.1	43.3	171	85	4	1.11E-40	136	20902	DLE3	Outer dynein arm	"Outer dynein arm docking complex, calcium binding"	0.21	0.27	1.76	1.76	yes	no	yes	"DLE3 (ODA-DC3, ODA14)"		yes		yes
XP_002900449.1_PITG_12577	jgi|Aurli1|69130|e_gw1.1.1184.1	46.9	4693	2198	50	0	4082	12577	DHC14	Outer dynein arm	Outer dynein arm protein	0.07	0.6	2.82	0.51	yes	no	yes	DHC14  (ODA4)		yes		yes
XP_002897760.1_PITG_15625	jgi|Aurli1|69130|e_gw1.1.1184.1	45.5	4945	2338	59	0	4007	15625	ODA4(C)	Outer dynein arm	Outer dynein arm protein	ns	ns	ns	ns	ns	no	yes	ODA4(C)		yes		yes
XP_002903053.1_PITG_09030	jgi|Aurli1|69425|e_gw1.1.1145.1	43.2	95	54	0	4.65E-27	94.7	9030	DLL3	Outer dynein arm	Dynein light chain	ns	ns	ns	ns	ns	no	yes	DLL3 (MOT24)		yes	no	yes
XP_002900134.1_PITG_12744	jgi|Aurli1|69470|e_gw1.1.1155.1	56.4	133	58	0	1.25E-47	152	12744	CEN3	Regulatory	Centrin (caltractin)	0.26	0.93	2.12	0.69	yes	no	yes	CEN3		yes	no	yes
XP_002999209.1_PITG_05583	jgi|Aurli1|69564|e_gw1.1.1528.1	30.2	202	132	4	4.22E-19	85.1	5583	GSTS1	Metabolism	Glutathione S transferase	1.09	1.46	0.99	0.42	no	yes	no	FM107 (GSTS1)		yes		yes
XP_002997419.1_PITG_19102	jgi|Aurli1|70270|e_gw1.2.3.1	29.1	728	405	22	1.39E-81	271	19102	CEP76	Basal body	Basal body protein	0.62	1.67	1.03	0.31	yes	no	yes	CEP76	yes	yes		yes
XP_002902732.1_PITG_10211	jgi|Aurli1|70288|e_gw1.2.344.1	93.1	189	13	0	4.04E-129	362	10211	BUG22	Basal body	DUF667-containing basal body protein	0.15	1.51	2.04	0.3	yes	no	yes	BUG22 (FAP20)	yes	yes		yes
XP_002908460.1_PITG_01859	jgi|Aurli1|71135|e_gw1.2.1143.1	37.1	326	177	9	1.07E-62	204	1859	MOT4	Uncharacterized	"Zn-finger-like, PHD finger"	0.32	0.8	2.24	0.64	yes	no	yes	MOT4	yes	yes		yes
XP_002999178.1_PITG_05548	jgi|Aurli1|71598|e_gw1.3.666.1	47.3	452	198	8	1.21E-124	382	5548	FBB17	Uncharacterized	Carboxypeptidase	0.33	0.7	2.49	0.48	yes	no	yes	FBB17	yes	yes		yes
XP_002902625.1_PITG_10094	jgi|Aurli1|71789|e_gw1.3.569.1	50	528	227	8	5.6E-149	459	10094	IFT88	Intraflagellar transport	Intraflagellar transport protein	0.11	1.71	0.95	1.24	yes	no	yes	IFT88	yes	yes		yes
XP_002904074.1_PITG_07855	jgi|Aurli1|71976|e_gw1.3.870.1	37.9	327	189	5	1.92E-63	209	7855	MOT20	Uncharacterized	Uncharacterized flagella-associated protein	0.17	0.22	0.25	3.36	no	yes	no	MOT20	yes	yes		yes
XP_002906177.1_PITG_03077	jgi|Aurli1|72199|e_gw1.4.177.1	44	357	179	4	2.7E-99	306	3077	SSA11	Tubulin-related	Tubulin-tyrosine ligase	0.22	0.44	2.5	0.83	yes	no	no	SSA11	yes	yes		yes
XP_002909206.1_PITG_00627	jgi|Aurli1|72388|e_gw1.4.647.1	80.4	224	42	1	1.58E-125	354	627	FBB9	Uncharacterized	Uncharacterized flagella-basal body protein	ns	ns	ns	ns	ns	no	yes	FBB9	yes	yes		yes
XP_002907620.1_PITG_02721	jgi|Aurli1|724|gm1.724_g	55.9	392	157	5	1.25E-163	466	2721	FAP267	Tubulin-related	Tubulin-tyrosine ligase	0.18	0.87	2.4	0.55	yes	no	no	FAP267	yes	yes		yes
XP_002906489.1_PITG_03419	jgi|Aurli1|7270|gm1.7270_g	21.3	733	444	23	6.1E-17	86.3	3419	CPC1	Central pair	Central pair complex adenylate kinase 	0.17	0.12	0.77	2.94	yes	no	yes	CPC1		yes		yes
XP_002905292.1_PITG_04513	jgi|Aurli1|72712|e_gw1.4.210.1	34.1	413	226	11	4.62E-60	205	4513	RIB72	Metabolism	Nucleoside-diphosphokinase regulatory subunit	0.19	0.48	1.36	1.98	yes	no	yes	RIB72		yes		yes
XP_002903573.1_PITG_09288	jgi|Aurli1|72767|e_gw1.4.92.1	32.3	470	270	15	1.42E-66	232	9288	POC10	Centriole	IQ calmodulin-binding region	0.44	1.08	2.37	0.1	yes	no	yes	NPH4 (POC10)	yes	yes		yes
XP_002997963.1_PITG_18032	jgi|Aurli1|72776|e_gw1.4.187.1	34.3	137	87	2	4.29E-15	71.6	18032	FAP279	Protein interaction	Leucine-rich repeat protein	ns	ns	ns	ns	ns	no	yes	FAP279		yes		yes
XP_002903807.1_PITG_08424	jgi|Aurli1|72885|e_gw1.4.563.1	39.4	831	405	18	1.95E-168	505	8424	KLP1	Central pair	Kinesin-like protein	0.22	0.83	2.21	0.74	yes	no	yes	KLP1	yes	yes		yes
XP_002900972.1_PITG_11375	jgi|Aurli1|73169|e_gw1.5.796.1	25.7	113	73	3	6.28E-10	52.4	11375	DLX2	Outer dynein arm	Outer dynein arm light chain protein	0.04	1.19	1.89	0.88	yes	no	yes	"DLX2 (ODA-LC5, DLC5)"		yes		yes
XP_002895259.1_PITG_21013	jgi|Aurli1|73281|e_gw1.5.806.1	40.3	663	318	7	2.04E-151	454	21013	KAP	Intraflagellar transport	Kinesin-associated protein	0.46	0.98	1.8	0.75	yes	no	yes	KAP	yes	yes		yes
XP_002903590.1_PITG_09306	jgi|Aurli1|73306|e_gw1.5.700.1	34.1	417	160	9	2.64E-67	215	9306	MAS1	Mastigoneme	Mastigoneme protein	0.12	0.26	1.35	2.28	yes	no	yes	MAS1		yes		yes
XP_002901515.1_PITG_10664	jgi|Aurli1|73352|e_gw1.5.230.1	44.8	1264	629	17	0	1058	10664	IFT122	Intraflagellar transport	Intraflagellar transport protein	ns	ns	ns	ns	ns	no	yes	IFT122		yes		yes
XP_002897191.1_PITG_16973	jgi|Aurli1|73589|e_gw1.5.141.1	50	56	27	1	3.8E-15	64.7	16973	DLL2	Outer dynein arm	Outer dynein arm light chain protein	0.51	1.02	1.75	0.73	yes	no	yes	DLL2 (ODA13)		yes	no	yes
XP_002902933.1_PITG_08880	jgi|Aurli1|73614|e_gw1.5.671.1	69.5	177	52	1	7.05E-88	254	8880	ARLC2	Regulatory	ARF-like GTPase	0.04	1.23	1.07	1.66	yes	no	no	ARLC2 (ARL3)	yes	yes	yes	yes
XP_002907419.1_PITG_02495	jgi|Aurli1|73615|e_gw1.5.245.1	46	439	215	6	4.34E-102	337	2495	TB6300	Regulatory	Phosphatidylinositol 3-related kinase	ns	ns	ns	ns	0	yes	no	TB11.01.6300	yes	yes		yes
XP_002909609.1_PITG_01088	jgi|Aurli1|73860|e_gw1.6.794.1	48.8	4147	1929	41	0	3777	1088	DHC10	Inner dynein arm	Inner dynein arm protein	0.08	0.36	1.72	1.84	yes	no	yes	DHC10 (IDA2)		yes		yes
XP_002906123.1_PITG_03018	jgi|Aurli1|73860|e_gw1.6.794.1	50.2	4123	1906	31	0	3974	3018	DHC2	Inner dynein arm	Dynein  heavy chain protein	0.03	0.66	1.61	1.7	yes	no	yes	DHC2		yes		yes
XP_002904019.1_PITG_07793	jgi|Aurli1|74180|e_gw1.6.666.1	33.3	126	81	3	3.8E-19	76.6	7793	DLT2	Outer dynein arm	Outer dynein arm light chain protein	0.05	1.36	2.11	0.48	yes	no	yes	DLT2 (ODA-LC2)		yes		yes
XP_002904926.1_PITG_06949	jgi|Aurli1|7509|gm1.7509_g	45.5	123	67	0	5.9E-26	94	6949	IFT20	Intraflagellar transport	Intraflagellar transport protein	0.24	1.54	1.81	0.41	yes	no	yes	IFT20		yes		yes
XP_002900247.1_PITG_12878	jgi|Aurli1|75101|e_gw1.7.500.1	47.1	210	97	3	1.94E-63	196	12878	MAS4	Mastigoneme	Mastigoneme protein	0.04	1.55	2.31	0.1	yes	no	yes	MAS4		yes		yes
XP_002998291.1_PITG_06106	jgi|Aurli1|7514|gm1.7514_g	38.3	705	411	8	4.01E-130	399	6106	IFT81	Intraflagellar transport	Intraflagellar transport protein	0.37	1.11	2.2	0.32	yes	no	yes	IFT81	yes	yes		yes
XP_002902837.1_PITG_08756	jgi|Aurli1|75425|e_gw1.7.408.1	52	402	182	4	7.14E-150	431	8756	MOT11	Tubulin-related	Tubulin-tyrosine ligase	0.33	0.67	2	1	yes	no	yes	MOT11	yes	yes		yes
XP_002901621.1_PITG_10796	jgi|Aurli1|75623|e_gw1.8.427.1	51.7	522	244	5	9.73E-156	455	10796	FAP250	Uncharacterized	Uncharacterized flagella-associated protein	0.16	0.49	2.15	1.19	yes	no	yes	FAP250	yes	yes		yes
XP_002896903.1_PITG_16674	jgi|Aurli1|75705|e_gw1.8.382.1	42.8	362	181	4	7.92E-77	246	16674	MOT47	Protein interaction	Leucine-rich repeat protein	ns	ns	ns	ns	ns	no	yes	MOT47	yes	yes		yes
XP_002898617.1_PITG_14740	jgi|Aurli1|75718|e_gw1.8.572.1	27.5	298	206	3	7.58E-12	66.6	14740	TT18010	Basal body	Basal body protein	0.09	1.28	2.55	0.09	yes	no	yes	TT18010		yes		yes
XP_002905444.1_PITG_04711	jgi|Aurli1|76112|e_gw1.8.369.1	36.4	132	75	3	2.59E-25	92.8	4711	IFT25	Intraflagellar transport	Intraflagella transport protein	ns	ns	ns	ns	ns	no	yes	IFT25		yes		yes
XP_002906384.1_PITG_03309	jgi|Aurli1|76241|e_gw1.9.543.1	37.5	1567	794	27	0	986	3309	IFT140	Intraflagellar transport	Intraflagellar transport protein	0.3	1.46	1.68	0.55	yes	no	yes	IFT140	yes	yes		yes
XP_002906657.1_PITG_03600	jgi|Aurli1|76245|e_gw1.9.508.1	36.4	764	412	14	1.72E-149	452	3600	BBS2	Basal body	Transport to flagellar base	0.09	0.83	3.05	0.04	yes	no	yes	BBS2	yes	yes		yes
XP_002907499.1_PITG_02583	jgi|Aurli1|76635|e_gw1.9.460.1	39.6	950	491	20	1.81E-221	652	2583	FAP251	Protein interaction	WD domain protein	ns	ns	ns	ns	ns	no	yes	FAP251	yes	yes		yes
XP_002907680.1_PITG_02788	jgi|Aurli1|76659|e_gw1.9.457.1	51.7	145	70	0	1.8E-48	152	2788	DLE1	Outer dynein arm	Outer dynein arm light chain protein	0.21	0.68	2.33	0.78	yes	no	yes	"DLE1 (MOT54, ODA-LC4)"		yes	no	yes
XP_002901017.1_PITG_11437	jgi|Aurli1|77161|e_gw1.10.817.1	49.1	4235	1951	46	0	3711	11437	DHC10	Inner dynein arm	Inner dynein arm protein	0.08	0.36	1.72	1.84	yes	no	yes	DHC10 (IDA2)		yes		yes
XP_002903867.1_PITG_08492	jgi|Aurli1|77207|e_gw1.10.614.1	48.1	231	113	3	1.32E-71	217	8492	FAP198	Uncharacterized	Cytochrome b5-like heme-binding domain protein	0.18	0.58	2.91	0.32	yes	no	yes	FAP198	yes	yes		yes
XP_002899505.1_PITG_13825	jgi|Aurli1|77714|e_gw1.10.693.1	57.6	170	70	1	4.39E-68	205	13825	RJL1	Regulatory	Rab-type GTPase	ns	ns	ns	ns	ns	no	yes	RJL1	yes	yes		yes
XP_002899626.1_PITG_13968	jgi|Aurli1|77776|e_gw1.10.692.1	26.8	3622	2302	85	0	1128	13968	DHC16	Intraflagellar transport	Dynein heavy chain protein	0.23	0.92	2	0.86	yes	no	yes	DHC16 (DHC1B)		yes		yes
XP_002907416.1_PITG_02492	jgi|Aurli1|77971|e_gw1.11.509.1	35.3	2126	1116	52	0	1197	2492	MOT51	Protein interaction	WD domain protein	0.28	0.66	2.4	0.66	yes	no	yes	MOT51	yes	yes		yes
XP_002905071.1_PITG_07108	jgi|Aurli1|77979|e_gw1.11.107.1	43.2	199	102	3	3.02E-60	189	7108	FM136	Uncharacterized	B9 domain protein	ns	ns	ns	ns	ns	no	yes	FM136	yes	yes		yes
XP_002905408.1_PITG_04669	jgi|Aurli1|78174|e_gw1.11.351.1	57	79	34	0	4.99E-27	104	4669	MOT16	Uncharacterized	Protein of unknown function DUF1042	0.51	1.25	1.28	0.96	yes	no	yes	MOT16		yes		yes
XP_002907198.1_PITG_02248	jgi|Aurli1|78549|e_gw1.12.360.1	44.8	718	365	2	3.24E-174	521	2248	MBO2	Protein interaction	Coiled-coil protein	0.11	0.69	2.72	0.48	yes	no	yes	MBO2	yes	yes		yes
XP_002904931.1_PITG_06954	jgi|Aurli1|79249|e_gw1.13.86.1	34.7	683	371	15	2.37E-119	375	6954	FM177	Metabolism	Oxidoreductase FAD/NAD(P)-binding	0.75	0.46	0.44	2.35	yes	no	yes	FM177	y	yes		yes
XP_002900440.1_PITG_12568	jgi|Aurli1|80070|e_gw1.14.513.1	52	304	140	4	4.09E-100	295	12568	PACRG	Centriole	Parkin co-regulated chaperone complex protein	0.05	0.88	2.36	0.71	yes	no	yes	PACRG (BUG21)	yes	yes		yes
XP_002897861.1_PITG_16089	jgi|Aurli1|80228|e_gw1.15.101.1	40.1	217	129	1	4.21E-52	173	16089	SSA4	Uncharacterized	Uncharacterized flagella-associated protein	0.29	0.63	2.64	0.44	yes	no	yes	SSA4	yes	yes		yes
XP_002902497.1_PITG_09952	jgi|Aurli1|80279|e_gw1.15.523.1	35.4	260	153	7	1.13E-42	145	9952	RSP9	Radial spoke	Radial spoke protein	0.08	1.19	2.1	0.63	yes	no	yes	RSP9		yes		yes
XP_002898510.1_PITG_14607	jgi|Aurli1|80567|e_gw1.15.576.1	32.8	259	161	6	2.66E-36	130	14607	MOT19	Uncharacterized	Uncharacterized flagella-associated protein	0.01	0.06	0.93	3	yes	yes	no	MOT19		yes		yes
XP_002897195.1_PITG_16977	jgi|Aurli1|80677|e_gw1.15.133.1	59.3	258	105	0	1.45E-113	333	16977	CALK	Regulatory	Protein kinase	0.87	ns	0.95	1.18	no	yes	no	CALK	yes	yes	no	yes
XP_002906818.1_PITG_03772	jgi|Aurli1|80766|e_gw1.16.105.1	31.2	189	120	5	5.4E-29	112	3772	ARLP1	Regulatory	ARF-like GTPase	ns	ns	ns	ns	ns	no	yes	ARLP1		yes	no	yes
XP_002907931.1_PITG_01258	jgi|Aurli1|80953|e_gw1.16.392.1	54.2	166	73	3	2.05E-58	181	1258	RABL2A	Regulatory	Rab-type GTPase	ns	ns	ns	ns	ns	no	yes	RABL2A	yes	yes		yes
XP_002909609.1_PITG_01088	jgi|Aurli1|81383|e_gw1.17.352.1	50.2	4153	1898	39	0	4029	1088	DHC10	Inner dynein arm	Inner dynein arm protein	0.08	0.36	1.72	1.84	yes	no	yes	DHC10 (IDA2)		yes		yes
XP_002906123.1_PITG_03018	jgi|Aurli1|81383|e_gw1.17.352.1	49.6	4154	1925	44	0	3948	3018	DHC2	Inner dynein arm	Dynein  heavy chain protein	0.03	0.66	1.61	1.7	yes	no	yes	DHC2		yes		yes
XP_002909670.1_PITG_01154	jgi|Aurli1|8149|gm1.8149_g	39.2	836	389	19	1.48E-170	541	1154	GCP2	Tubulin-related	Gamma-tubulin complex component	1.53	0.7	0.87	0.9	no	yes	no	GCP2	yes	yes		yes
XP_002999234.1_PITG_05608	jgi|Aurli1|81850|e_gw1.18.205.1	33.4	946	564	23	9.34E-149	462	5608	FM135	Uncharacterized	Uncharacterized flagella-associated protein	0.19	0.76	1.14	1.9	yes	no	yes	FM135	yes	yes		yes
XP_002903309.1_PITG_09704	jgi|Aurli1|81996|e_gw1.18.70.1	43.2	111	56	1	1.3E-28	99.8	9704	DLT3	Inner dynein arm	Inner arm dynein light chain protein	0.75	1.63	1.62	0.01	no	no	no	DLT3 (TCTEX1)		yes		yes
XP_002899375.1_PITG_12600	jgi|Aurli1|82177|e_gw1.18.274.1	43	314	155	4	6.01E-52	174	12600	RSP3	Radial spoke	Radial spoke protein	0.21	0.77	2.56	0.47	yes	no	yes	RSP3		yes		yes
XP_002997696.1_PITG_18065	jgi|Aurli1|82299|e_gw1.19.463.1	37.9	1379	769	21	2.74E-286	850	18065	IFT144	Intraflagellar transport	WD40-containing protein	0.15	0.39	3.05	0.41	yes	no	yes	FAP66 (IFT144)	yes	yes		yes
XP_002901086.1_PITG_11526	jgi|Aurli1|82352|e_gw1.19.369.1	33.4	933	524	21	1.1E-140	440	11526	BBS9	Basal body	Transport to flagellar base	0.12	0.92	2.8	0.16	yes	no	yes	BBS9	yes	yes		yes
XP_002908085.1_PITG_01416	jgi|Aurli1|82473|e_gw1.19.341.1	50.5	519	236	3	1.07E-179	514	1416	BBS8	Basal body	basal body protein with peptidase activity	0.26	1.33	2.27	0.13	yes	no	yes	BBS8	yes	yes		yes
XP_002907013.1_PITG_03986	jgi|Aurli1|82692|e_gw1.20.459.1	34.7	590	342	13	1.46E-100	316	3986	BBS1	Basal body	basal body protein	0.09	1.2	2.17	0.54	yes	no	yes	BBS1	yes	yes		yes
XP_002900992.1_PITG_11403	jgi|Aurli1|82739|e_gw1.20.257.1	55.3	47	21	0	4.45E-09	56.6	11403	POC1	Centriole	WD domain protein	1.14	2.47	0.38	0.01	no	no	no	POC1		yes		yes
XP_002999090.1_PITG_05447	jgi|Aurli1|83025|e_gw1.20.354.1	36	261	117	5	3.62E-43	145	5447	SPEF1	Uncharacterized	DUF1042-containing protein	0.27	0.8	1.87	1.05	yes	no	yes	SPEF1	yes	yes		yes
XP_002904769.1_PITG_06778	jgi|Aurli1|83949|e_gw1.22.340.1	40.6	325	190	1	6.1E-71	230	6778	FAP22	Protein interaction	Coiled-coil protein	0.51	1.86	1.62	0.01	yes	no	yes	FAP22	yes	yes		yes
XP_002906555.1_PITG_03487	jgi|Aurli1|84052|e_gw1.23.305.1	43	865	458	12	6.27E-218	638	3487	FAP50	Protein interaction	Leucine rich repeat protein	0.16	0.78	2.69	0.38	yes	no	yes	FAP50	yes	yes		yes
