protein,Fasta_headers,T0.1,T0.2,T0.3,T2.1,T2.2,T2.3,T4.1,T4.2,T4.3,T6.1,T6.2,T6.3,T8.1,T8.2,T8.3
A0A6S8B0V2,tr|A0A6S8B0V2|A0A6S8B0V2_9STRA Uncharacterized protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_3901 PE=4 SV=1,311000.6799,182580.6349,258248.2621,329699.4896,176282.0266,259142.7281,340877.3215,201563.6792,296238.5002,413323.7647,248867.0463,372399.8445,463033.4882,262740,382199.6199
A0A6S8B0Z1,tr|A0A6S8B0Z1|A0A6S8B0Z1_9STRA UV excision repair protein RAD23 OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_3736 PE=3 SV=1,815864.5533,705551.4438,491903.6124,825308.0593,641827.1095,489796.7751,889021.1243,660186.9199,553164.0814,808133.8746,640182.1621,476183.4078,862871.1,666620,515748.0206
A0A6S8B0Z3,"tr|A0A6S8B0Z3|A0A6S8B0Z3_9STRA Elongation factor G, mitochondrial OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_1640 PE=3 SV=1",1793626.888,2186920.241,1897783.284,2483597.201,3190690.493,2653270.611,2567119.767,3186097.161,2755267.381,2603117.926,3390589.425,2824678.724,2245533.906,2851100,2430280.031
A0A6S8B0Z5,tr|A0A6S8B0Z5|A0A6S8B0Z5_9STRA PUA domain-containing protein (Fragment) OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_3932 PE=4 SV=1,778264.5973,711861.1525,735019.52,860065.7081,848502.9384,907982.3301,855359.3723,857672.4412,933258.5453,903445.3449,883339.6801,977625.5993,863095.9963,836150,929908.0435
A0A6S8B110,tr|A0A6S8B110|A0A6S8B110_9STRA Uncharacterized protein (Fragment) OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_3666 PE=4 SV=1,187127.8971,92564.6686,111641.3839,206850.9563,87607.93093,90596.88264,195320.3971,84482.7697,87252.64637,201712.4564,85478.16762,78724.2229,193871.9051,79800,96377.86687
A0A6S8B121,tr|A0A6S8B121|A0A6S8B121_9STRA PPM-type phosphatase domain-containing protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_3742 PE=4 SV=1,30625.43666,174008.5948,65070.25855,13585.25894,125010.8542,29458.27914,22628.48231,137688.684,24480.6997,14875.71,156695.9851,29136.98607,16719.35746,139340,33610.35736
A0A6S8B129,tr|A0A6S8B129|A0A6S8B129_9STRA Vacuolar protein sorting-associated protein 51 homolog OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_3703 PE=3 SV=1,60568.62483,316573.6485,86511.92002,48023.38931,282077.5926,69713.9722,54007.37542,260953.6695,70706.4302,47562.93339,250597.5204,68388.43073,53332.48448,247570,76238.15678
A0A6S8B145,tr|A0A6S8B145|A0A6S8B145_9STRA Uncharacterized protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_3940 PE=4 SV=1,1003537.377,1022249.186,785407.7648,989361.8712,964443.2848,742131.9429,1020214.239,878915.6721,698807.4293,1026072.044,903058.7953,688870.3936,1015519.503,897840,709313.2109
A0A6S8B1C0,tr|A0A6S8B1C0|A0A6S8B1C0_9STRA Actin-related protein 2 OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_1663 PE=3 SV=1,1090180.754,1019958.218,1189943.016,1010205.008,1005174.426,1188446.625,981070.1172,934469.6754,1057563.908,978328.7596,917855.9032,1025200.16,978411.6037,886430,987584.8112
A0A6S8B1H5,tr|A0A6S8B1H5|A0A6S8B1H5_9STRA CCR4-NOT transcription complex subunit 11 OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_2800 PE=3 SV=1,34713.47825,84922.37988,105665.5786,34979.82289,79592.43968,86929.42936,36741.19924,77725.23305,83808.41718,31543.83595,77340.79445,84044.74187,30628.63494,82885,91591.56669
A0A6S8B1I5,tr|A0A6S8B1I5|A0A6S8B1I5_9STRA Diadenosine tetraphosphate synthetase OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_3972 PE=4 SV=1,148410.841,220725.2585,103788.2138,143170.5919,239927.6013,104940.6999,154158.7629,277217.8668,123435.6076,160663.738,253426.3793,109324.1997,162470.7511,279820,116387.4431
A0A6S8B1L1,tr|A0A6S8B1L1|A0A6S8B1L1_9STRA Proteasome subunit alpha type OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_3980 PE=3 SV=1;tr|A0A6S8B529|A0A6S8B529_9STRA Uncharacterized protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_3979 PE=3 SV=1,1537783.709,1697893.947,2082797.303,1297771.585,1349428.069,1505333.764,1215715.555,1207657.818,1362731.891,1107258.973,1116414.855,1234846.849,1174015.211,1215700,1320202.23
A0A6S8B1R6,tr|A0A6S8B1R6|A0A6S8B1R6_9STRA Protein kinase domain-containing protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_2817 PE=3 SV=1,304161.8473,50361.2126,183380.5414,151605.191,26056.17399,94404.56207,133972.6765,22950.05136,81011.2856,148640.3682,23489.8908,81805.86749,168959.011,28893,106147.4589
A0A6S8B1S7,tr|A0A6S8B1S7|A0A6S8B1S7_9STRA Uncharacterized protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_2820 PE=4 SV=1,388996.0669,294045.7927,396526.6736,331388.6999,237758.7871,336566.7418,347291.6944,244427.9276,319107.2542,315023.9618,245634.0647,279330.2864,344428.7716,262280,302471.7262
A0A6S8B1T3,tr|A0A6S8B1T3|A0A6S8B1T3_9STRA Uncharacterized protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_3723 PE=3 SV=1,407970.4215,231836.4552,258826.7854,419937.6753,240920.7966,291910.1048,457421.5436,227127.2389,275294.8035,387234.2196,218630.3789,228593.8174,397290.6605,212440,220678.4049
A0A6S8B1T8,tr|A0A6S8B1T8|A0A6S8B1T8_9STRA MHD domain-containing protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_2824 PE=3 SV=1,167298.0073,275135.7578,262876.4485,133275.8279,237120.3045,201590.079,130129.5351,242354.9447,183727.0134,110486.5972,207822.6873,148220.5377,112740.5441,216120,155933.8155
A0A6S8B1U1,tr|A0A6S8B1U1|A0A6S8B1U1_9STRA Calreticulin OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_3966 PE=3 SV=1,889266.2066,1051268.119,788822.1866,969549.4387,1107108.692,819232.3578,1128436.224,1268781.752,1066992.05,1209282.518,1416501.862,1142361.028,1172497.16,1389400,1122219.651
A0A6S8B1W4,tr|A0A6S8B1W4|A0A6S8B1W4_9STRA TPR_REGION domain-containing protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_1040 PE=4 SV=1,1535386.031,1148443.362,912240.4899,1538326.581,1218589.794,940510.004,1246581.298,1011499.394,784831.9819,1321169.896,1053931.269,804547.597,1280334.964,1034000,853355.894
A0A6S8B1Y7,tr|A0A6S8B1Y7|A0A6S8B1Y7_9STRA Uncharacterized protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_3978 PE=4 SV=1,3355387.381,3169172.938,3203204.088,4199720.322,3963153.185,3953298.903,4131239.937,3809251.308,3878758.706,4287907.21,4007964.56,3947399.436,4012713.26,3586600,3512659.613
A0A6S8B203,"tr|A0A6S8B203|A0A6S8B203_9STRA DNA-directed RNA polymerases I, II, and III subunit RPABC3 OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_4010 PE=3 SV=1",278212.4283,165331.552,176540.3542,289650.8907,196419.5675,215241.1551,307555.4764,213740.0318,210434.2855,326539.5485,214330.0989,224325.2411,367795.5032,219310,232665.0484
A0A6S8B230,tr|A0A6S8B230|A0A6S8B230_9STRA NMO domain-containing protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_3521 PE=4 SV=1,327669.9937,595279.4987,320683.4038,271315.8015,464724.1766,272889.6854,293465.7854,501874.9625,289605.1699,283623.1222,473631.8005,283379.9614,290076.9444,478580,291571.5215
A0A6S8B241,tr|A0A6S8B241|A0A6S8B241_9STRA Uncharacterized protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_3738 PE=3 SV=1,2879938.662,3004509.585,3041444.437,2658187.104,2770710.776,2759698.667,2549576.183,2607986.801,2706097.241,2664168.629,2741817.065,2793667.699,2627913.938,2680900,2762897.449
A0A6S8B282,tr|A0A6S8B282|A0A6S8B282_9STRA 3-isopropylmalate dehydrogenase OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_3531 PE=3 SV=1,1884629.681,1369330.897,1643346.47,2308320.162,1647690.691,2080260.999,2448919.869,1724741.113,2102719.313,2437533.945,1742597.792,2163839.865,2202803.598,1582700,1899238.295
A0A6S8B292,tr|A0A6S8B292|A0A6S8B292_9STRA Histone deacetylase OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_1732 PE=3 SV=1,425871.2702,406265.0609,382982.4223,370521.117,391764.8626,318013.7429,386446.7812,443298.6664,328419.4294,350662.1637,415842.2549,306401.0869,356910.5195,416530,313873.3642
A0A6S8B2B7,tr|A0A6S8B2B7|A0A6S8B2B7_9STRA Uncharacterized protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_2864 PE=4 SV=1,185956.3043,133009.8064,191037.4674,194396.6094,130899.0833,203267.9988,240166.184,137872.7339,237245.9282,233399.2887,154924.0625,237544.4505,226465.0097,159230,267466.9067
A0A6S8B2D5,tr|A0A6S8B2D5|A0A6S8B2D5_9STRA Uncharacterized protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_3754 PE=4 SV=1,250551.9389,227579.0723,168917.459,266717.7138,251156.7887,211489.8058,302654.2376,302364.8925,230601.0012,302977.2456,300646.5621,233652.8709,276245.8184,327140,223985.4768
A0A6S8B2D9,tr|A0A6S8B2D9|A0A6S8B2D9_9STRA AAA domain-containing protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_2870 PE=3 SV=1,1141839.824,1081909.821,854342.7858,936166.0627,911814.0698,777200.4668,989567.7907,922312.6965,729295.2358,915585.4464,896364.8655,718154.5301,994041.9005,963160,770344.8061
A0A6S8B2F6,tr|A0A6S8B2F6|A0A6S8B2F6_9STRA Uncharacterized protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_1746 PE=4 SV=1,105230.8335,216038.319,180533.2993,93794.1165,143314.0242,154596.3394,73820.11248,166865.4334,130741.5483,71358.11607,155193.4776,108311.1729,74744.30444,206780,117325.8397
A0A6S8B2F9,tr|A0A6S8B2F9|A0A6S8B2F9_9STRA Pre-mRNA-processing factor 19 OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_3753 PE=3 SV=1,576478.1666,605493.3994,268933.9277,598553.0524,611169.8064,275730.1639,617588.9841,574032.2023,254119.1722,589612.0469,569802.6402,259689.9706,611999.2131,571830,267860.89
A0A6S8B2G1,tr|A0A6S8B2G1|A0A6S8B2G1_9STRA CRAL-TRIO domain-containing protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_4013 PE=4 SV=1,45126.48637,131425.2199,94607.84309,47815.53055,128162.729,96135.21649,67504.4222,158515.3809,109830.3225,68340.60045,149981.3311,102253.686,57584.71236,145020,103719.0891
A0A6S8B2G2,tr|A0A6S8B2G2|A0A6S8B2G2_9STRA ABC transporter domain-containing protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_3816 PE=4 SV=1,148421.7395,285951.0377,197741.5315,152893.5717,295789.7682,205473.2648,152091.9094,300301.5965,239947.9666,147070.3262,290781.8234,226720.9948,147560.1226,289450,247314.0639
A0A6S8B2H0,tr|A0A6S8B2H0|A0A6S8B2H0_9STRA Uncharacterized protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_4014 PE=3 SV=1,169603.0481,112410.1823,231987.8419,170008.9938,118595.6235,266765.2781,178955.5226,148993.2214,317935.9844,189776.6354,143245.9528,331586.9036,179630.3432,152040,318195.2416
A0A6S8B2I0,tr|A0A6S8B2I0|A0A6S8B2I0_9STRA UBC core domain-containing protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_4017 PE=3 SV=1,429685.7585,472798.6012,366987.9547,421151.6163,508120.7294,348623.7941,420294.9337,494047.9992,456227.0047,492456.215,636161.6594,507911.9426,562015.9976,721250,608047.5633
A0A6S8B2I9,tr|A0A6S8B2I9|A0A6S8B2I9_9STRA Uncharacterized protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_4047 PE=3 SV=1,19184.15148,84946.24414,109567.7749,26446.73422,49611.11743,113773.7491,20665.2456,36538.74462,94791.68136,18978.2472,42241.18392,100231.2807,20949.09571,43210,104201.4201
A0A6S8B2K5,tr|A0A6S8B2K5|A0A6S8B2K5_9STRA Uncharacterized protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_3767 PE=3 SV=1,48402.04196,47826.82882,98826.52572,42848.10711,41344.28696,86080.88134,34286.19394,37316.59753,83997.4439,33049.09181,32667.62086,68360.46,31554.08345,35295,67953.76243
A0A6S8B2N7,tr|A0A6S8B2N7|A0A6S8B2N7_9STRA Uncharacterized protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_3817 PE=4 SV=1,531712.4218,866482.4274,648218.3384,688453.3961,1166092.329,925948.0571,650483.2043,1110886.329,851292.8487,636246.3792,1076935.176,868077.6338,598168.0871,1001300,812393.5695
A0A6S8B2P4,tr|A0A6S8B2P4|A0A6S8B2P4_9STRA Adenylosuccinate synthetase OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_3775 PE=3 SV=1,2249948.674,2157901.308,2095955.873,3047049.036,2957289.603,2987416.355,3082846.316,2968821.434,3011323.208,3206037.392,3063146.42,3105237.29,2905660.94,2810300,2827486.833
A0A6S8B2P5,tr|A0A6S8B2P5|A0A6S8B2P5_9STRA N-acetyltransferase domain-containing protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_4032 PE=4 SV=1,47508.36184,27982.26973,20451.36571,45426.58639,42976.97838,23433.34854,61978.19321,53356.06024,44921.09823,49831.61487,51920.44062,27498.87429,57393.55046,52913,39692.02688
A0A6S8B2S0,tr|A0A6S8B2S0|A0A6S8B2S0_9STRA Uncharacterized protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_1769 PE=4 SV=1,59091.87294,46574.43277,123747.2675,43452.21451,43069.20365,109849.8138,53819.87836,56393.85194,85912.06423,40895.21609,50250.0668,85979.5866,45702.31331,47597,98641.48002
A0A6S8B2S9,tr|A0A6S8B2S9|A0A6S8B2S9_9STRA Uncharacterized protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_1771 PE=3 SV=1,425506.1692,345869.4068,385648.1669,421214.6038,340290.9973,375638.3029,525529.0265,500974.0868,500816.4364,596791.0492,551451.3249,595691.3848,541117.5036,505730,530074.6861
A0A6S8CFI8,tr|A0A6S8CFI8|A0A6S8CFI8_9STRA CBFD_NFYB_HMF domain-containing protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_3787 PE=4 SV=1;tr|A0A6S8B2T9|A0A6S8B2T9_9STRA CBFD_NFYB_HMF domain-containing protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM0,351902.8929,334529.1132,259756.9601,384653.222,412905.7334,298885.4572,392126.5165,464803.4419,325485.4564,424862.6978,485164.8405,318805.4968,444552.63,470140,328140.3353
A0A6S8B2V5,tr|A0A6S8B2V5|A0A6S8B2V5_9STRA Uncharacterized protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_4069 PE=4 SV=1,1185978.903,1525689.49,1487031.744,1174258.82,1503373.337,1451280.777,1147734.166,1625063.573,1553498.12,1211442.056,1673793.313,1593358.619,1167043.424,1654400,1561367.766
A0A6S8B2W4,tr|A0A6S8B2W4|A0A6S8B2W4_9STRA Uncharacterized protein (Fragment) OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_3781 PE=4 SV=1,531265.5817,395382.9611,494592.0442,646881.6448,495280.1333,674643.6115,686721.6702,520754.6055,650077.9645,662394.2903,513380.8945,640213.4875,649107.1121,504860,640115.4163
A0A6S8B2W7,tr|A0A6S8B2W7|A0A6S8B2W7_9STRA Coatomer subunit epsilon OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_3832 PE=3 SV=1,878858.1029,1055372.771,1244165.395,817921.3432,960034.7139,1130174.867,747411.5064,936804.2028,1095670.767,737627.9003,926508.2738,1039440.909,772181.6438,996970,1078153.215
A0A6S8B2X1,tr|A0A6S8B2X1|A0A6S8B2X1_9STRA Prohibitin OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_3563 PE=3 SV=1,1984569.274,1713357.984,1343535.279,2593825.329,2173070.722,1732811.749,2373592.105,2234462.413,1754353.506,2191638.523,2006106.515,1545565.157,2220120.618,2091000,1632284.761
A0A6S8B320,tr|A0A6S8B320|A0A6S8B320_9STRA Uncharacterized protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_3789 PE=3 SV=1,479459.3814,587394.7491,498085.8711,530492.1935,653258.9898,567784.0904,586723.2408,724672.1858,610521.5142,577757.9381,693743.9626,612704.8843,579051.8967,704830,632880.4502
A0A6S8B336,tr|A0A6S8B336|A0A6S8B336_9STRA PseudoU_synth_1 domain-containing protein (Fragment) OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_3791 PE=3 SV=1,88545.17183,74292.28656,32477.84412,96279.25976,86285.35967,31437.02599,107235.1578,85921.26481,27629.21224,105041.0613,88556.7536,25565.24568,114477.8684,80804,24553.51696
A0A6S8B350,tr|A0A6S8B350|A0A6S8B350_9STRA Thioredoxin domain-containing protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_4065 PE=4 SV=1,299611.7077,216353.3272,223616.2695,248485.6951,193480.5203,211837.3749,325400.5909,248380.1566,297490.9472,337383.9276,268244.2115,338457.9738,337850.5532,283460,345905.4006
A0A6S8B376,tr|A0A6S8B376|A0A6S8B376_9STRA Uncharacterized protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_2934 PE=4 SV=1,112423.8686,260263.5546,165366.9141,109838.7511,284590.9847,181946.4322,119992.6329,323956.8495,201574.3829,131107.26,377606.0305,238505.1842,154779.2957,408930,247708.0472
A0A6S8B396,tr|A0A6S8B396|A0A6S8B396_9STRA Uncharacterized protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_1116 PE=4 SV=1,1338612.928,2123059.497,1716739.523,925400.926,1523338.589,1131373.381,827234.8141,1342401.704,1001470.519,823542.465,1369768.699,950773.7001,843586.2373,1326900,983609.1615
A0A6S8B3A8,tr|A0A6S8B3A8|A0A6S8B3A8_9STRA YCII domain-containing protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_4094 PE=4 SV=1,471563.3907,583853.2938,521555.7672,447331.5125,531582.4341,486297.1138,703113.9566,790697.6585,798249.3999,592471.9747,696137.6125,670482.6801,652086.9888,773460,760232.568
A0A6S8B3B5,tr|A0A6S8B3B5|A0A6S8B3B5_9STRA Methylenetetrahydrofolate reductase (NAD(P)H) OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_3867 PE=4 SV=1,340671.9495,153380.3336,155066.9307,269328.8321,178288.6864,152007.5488,337319.2633,210795.2337,210932.945,370103.8359,273031.5112,238687.602,396767.7765,268630,274343.7062
A0A6S8B3B6,tr|A0A6S8B3B6|A0A6S8B3B6_9STRA Uncharacterized protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_4079 PE=4 SV=1,199922.7807,345067.5678,402391.3117,170415.5495,369590.2579,367692.1541,208582.2502,380653.8994,375560.142,175068.4354,297506.8396,317321.8321,186478.4373,311840,359730.6328
A0A6S8B3D7,tr|A0A6S8B3D7|A0A6S8B3D7_9STRA Uncharacterized protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_4100 PE=4 SV=1,132815.0331,161666.0026,130281.1777,96399.50863,115332.2676,106042.1344,90387.83471,123991.4982,100265.3385,78863.96731,106854.1859,86524.40774,88305.55481,121730,106570.0955
A0A6S8B3E9,tr|A0A6S8B3E9|A0A6S8B3E9_9STRA SET domain-containing protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_3862 PE=4 SV=1,823657.008,749614.4024,784681.7748,959643.2225,905520.4549,948935.5584,991486.6202,939845.8693,980607.9991,1009496.136,936145.0458,999260.3496,1010403.111,965200,990354.6332
A0A6S8B3G1,tr|A0A6S8B3G1|A0A6S8B3G1_9STRA tRNA 4-demethylwyosine synthase (AdoMet-dependent) (Fragment) OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_3828 PE=3 SV=1,251543.7059,324935.6831,203458.7029,267805.6798,368151.1382,241416.704,268246.8833,387211.8872,210341.5117,246023.827,340779.0545,198178.6907,260165.7289,348080,199964.4343
A0A6S8B3H5,tr|A0A6S8B3H5|A0A6S8B3H5_9STRA AAA domain-containing protein (Fragment) OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_3597 PE=4 SV=1,228972.8337,144121.003,175530.7743,195146.7332,148046.9038,174827.2581,208236.8609,151511.7987,188296.1256,191965.3556,144572.3042,169162.1004,209985.7291,145450,170702.2199
A0A6S8B3I8,tr|A0A6S8B3I8|A0A6S8B3I8_9STRA Uncharacterized protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_4109 PE=3 SV=1,716796.8431,521185.7627,760848.8837,689770.4075,519684.3601,691482.7352,630198.4351,506253.4123,658126.096,605429.1984,492076.3749,636115.1678,601035.5157,463770,598508.3918
A0A6S8B3K4,tr|A0A6S8B3K4|A0A6S8B3K4_9STRA Uncharacterized protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_3818 PE=3 SV=1,411479.7508,318139.1436,214087.6505,361405.1076,315836.0973,174192.0456,339736.9885,289810.7533,183031.2096,317294.3942,274233.5171,172834.7786,304385.9752,249520,186783.902
A0A6S8B3K5,tr|A0A6S8B3K5|A0A6S8B3K5_9STRA rRNA adenine N(6)-methyltransferase (Fragment) OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_1134 PE=3 SV=1,439369.1095,253514.7436,391115.7792,610921.5073,378934.4012,558411.7098,595220.9143,352126.168,523337.2885,591479.7548,323723.0043,511912.9729,593220.3672,312070,507450.4934
A0A6S8B3L3,tr|A0A6S8B3L3|A0A6S8B3L3_9STRA Uncharacterized protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_1839 PE=3 SV=1,156535.701,148750.6683,347011.8856,174526.9156,172967.9974,405301.528,170534.6022,182180.3208,423419.852,136663.6911,157670.0244,377142.7072,140633.3148,172130,378283.6647
A0A6S8B3N7,tr|A0A6S8B3N7|A0A6S8B3N7_9STRA Glycinamide ribonucleotide synthetase OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_2971 PE=3 SV=1,1475335.087,1537717.074,1538191.353,1791307.293,1840147.612,1955855.231,1597343.332,1635428.487,1634211.37,1465275.236,1532350.369,1454113.037,1552290.884,1610600,1508000.937
A0A6S8B3S2,tr|A0A6S8B3S2|A0A6S8B3S2_9STRA Xylose isomerase OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_4112 PE=3 SV=1,1182763.834,1515952.874,1783212.985,1030876.361,1343752.668,1481842.887,973504.4465,1218603.943,1373052.982,942725.5772,1177551.365,1291882.813,966042.304,1177500,1322828.785
A0A6S8B3U7,tr|A0A6S8B3U7|A0A6S8B3U7_9STRA 4HBT domain-containing protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_2982 PE=4 SV=1,485295.5485,270066.9902,253041.5525,472572.3224,277770.3682,240781.4915,570988.8388,300010.9914,331075.0809,627433.1325,319049.688,379878.9741,691218.955,333330,427006.2664
A0A6S8B3V3,tr|A0A6S8B3V3|A0A6S8B3V3_9STRA Uncharacterized protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_1861 PE=4 SV=1,45531.91198,80548.5394,111420.1838,44745.74875,78141.15842,103830.8758,37917.16761,68508.20879,92304.18251,37501.82424,66833.60433,84708.74264,42842.19388,80425,100930.1648
A0A6S8B3X1,tr|A0A6S8B3X1|A0A6S8B3X1_9STRA Matrin-type domain-containing protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_3903 PE=3 SV=1,119606.0051,143643.718,130156.3981,136127.4439,172177.4951,138116.7699,158901.013,216888.2534,188945.5425,142459.4223,197367.3078,154957.8349,132806.9216,188370,174009.2919
A0A6S8B3X8,tr|A0A6S8B3X8|A0A6S8B3X8_9STRA AAA_9 domain-containing protein (Fragment) OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_4128 PE=4 SV=1,557950.652,430539.7801,292301.7315,324402.8133,280172.2792,188046.8691,299633.4517,274776.7841,170727.0777,316751.5916,268731.2312,185397.284,354757.1369,302250,203832.634
A0A6S8B3Z0,tr|A0A6S8B3Z0|A0A6S8B3Z0_9STRA Uncharacterized protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_2992 PE=3 SV=1,164360.8513,88272.92115,19270.49757,184919.8534,96133.19485,29566.14541,167349.3452,79504.70478,25278.55481,173609.2886,74449.76285,29681.80722,168256.2099,80485,27917.89558
A0A6S8B3Z4,tr|A0A6S8B3Z4|A0A6S8B3Z4_9STRA SCP2 domain-containing protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_2993 PE=4 SV=1,1239327.247,1158179.977,1403656.328,1218178.287,1146532.463,1326395.603,1186439.699,1080179.059,1375024.426,1245119.164,1147812.08,1377497.564,1287081.854,1179100,1423473.61
A0A6S8B404,tr|A0A6S8B404|A0A6S8B404_9STRA WD_REPEATS_REGION domain-containing protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_3908 PE=4 SV=1,515871.3968,563110.4842,476952.7554,343241.8025,329446.9264,277791.6082,325334.8024,295884.3993,233697.3285,322337.2056,280917.0848,239113.2435,347948.3996,330630,256602.5187
A0A6S8B468,tr|A0A6S8B468|A0A6S8B468_9STRA Uncharacterized protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_3920 PE=4 SV=1,1617288.544,1599477.763,1226469.389,2143980.043,2162226.651,1974072.646,2021952.891,2229231.521,1856984.578,2111677.277,2264641.419,1982881.414,2026484.854,2137800,1813636.469
A0A6S8B473,tr|A0A6S8B473|A0A6S8B473_9STRA Uncharacterized protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_3923 PE=3 SV=1,251538.2566,337392.8237,257170.6207,246470.095,294310.1099,241344.7931,271015.4801,344773.8596,262445.6253,299883.8544,329867.7417,253353.9926,400084.9977,428610,305898.1871
A0A6S8B4C6,tr|A0A6S8B4C6|A0A6S8B4C6_9STRA RGS domain-containing protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_3659 PE=4 SV=1,33120.65693,58356.69228,53539.49519,34569.83151,30810.33626,56490.76565,38053.67863,36395.37945,65912.34149,37053.57434,27777.73623,62544.98075,35653.94405,31820,63877.82609
A0A6S8B4D8,tr|A0A6S8B4D8|A0A6S8B4D8_9STRA Uncharacterized protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_3937 PE=3 SV=1,709004.3884,490983.1628,483566.0707,597006.9955,419472.9838,369441.9848,578773.8042,403708.5686,304356.2121,573065.322,389646.8144,307738.8174,588441.3196,402680,342908.7397
A0A6S8B4M8,tr|A0A6S8B4M8|A0A6S8B4M8_9STRA Uncharacterized protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_3685 PE=3 SV=1,877332.3075,608500.2954,571161.304,715538.0219,560689.1364,500235.8333,504635.7143,369882.138,331608.5305,460746.0364,350374.378,297535.5821,505016.0158,407280,362369.1271
