#Accession	Name	No_orfs	Coverage	Abundance	Description
KOG0907	KOG0907	9	7.660377	0.001432	Thioredoxin
KOG0908	KOG0908	1	0.559027	0.000104	Thioredoxin-like protein
KOG0909	KOG0909	1	0.606	0.000113	Peptide:N-glycanase
KOG0910	KOG0910	3	1.886666	0.000352	Thioredoxin-like protein
KOG0911	KOG0911	4	2.290748	0.000428	Glutaredoxin-related protein
KOG0914	KOG0914	1	0.977358	0.000182	Thioredoxin-like protein
KOG0915	KOG0915	2	0.706815	0.000132	Uncharacterized conserved protein
KOG0917	KOG0917	1	0.976331	0.000182	Uncharacterized conserved protein
KOG0919	KOG0919	2	1.328402	0.000248	C-5 cytosine-specific DNA methylase
KOG0920	KOG0920	5	3.908008	0.000731	ATP-dependent RNA helicase A
KOG0921	KOG0921	2	0.159906	2.9e-05	Dosage compensation complex, subunit MLE
KOG0922	KOG0922	3	2.78635	0.000521	DEAH-box RNA helicase
KOG0923	KOG0923	1	0.934589	0.000174	mRNA splicing factor ATP-dependent RNA helicase
KOG0924	KOG0924	1	0.862763	0.000161	mRNA splicing factor ATP-dependent RNA helicase
KOG0925	KOG0925	1	0.982832	0.000183	mRNA splicing factor ATP-dependent RNA helicase
KOG0926	KOG0926	1	0.956484	0.000178	DEAH-box RNA helicase
KOG0927	KOG0927	3	2.244299	0.000419	Predicted transporter (ABC superfamily)
KOG0928	KOG0928	3	1.20707	0.000225	Pattern-formation protein/guanine nucleotide exchange factor
KOG0929	KOG0929	3	1.121532	0.000209	Guanine nucleotide exchange factor
KOG0930	KOG0930	3	0.901265	0.000168	Guanine nucleotide exchange factor Cytohesin, contains PH and Sec7 domains
KOG0931	KOG0931	1	0.169059	3.1e-05	Predicted guanine nucleotide exchange factor, contains Sec7 domain
KOG0933	KOG0933	6	1.961669	0.000366	Structural maintenance of chromosome protein 2 (chromosome condensation complex Condensin, subunit E)
KOG0934	KOG0934	2	1.951724	0.000365	Clathrin adaptor complex, small subunit
KOG0935	KOG0935	1	0.993006	0.000185	Clathrin adaptor complex, small subunit
KOG0936	KOG0936	1	0.901098	0.000168	Clathrin adaptor complex, small subunit
KOG0937	KOG0937	3	2.304245	0.000431	Adaptor complexes medium subunit family
KOG0938	KOG0938	1	1	0.000187	Adaptor complexes medium subunit family
KOG0939	KOG0939	11	4.876388	0.000912	E3 ubiquitin-protein ligase/Putative upstream regulatory element binding protein
KOG0941	KOG0941	8	2.9	0.000542	E3 ubiquitin protein ligase
KOG0942	KOG0942	3	1.516483	0.000283	E3 ubiquitin protein ligase
KOG0943	KOG0943	11	0.627197	0.000117	Predicted ubiquitin-protein ligase/hyperplastic discs protein, HECT superfamily
KOG0944	KOG0944	2	1.157273	0.000216	Ubiquitin-specific protease UBP14
KOG0945	KOG0945	1	0.792387	0.000148	Alpha-aminoadipic semialdehyde dehydrogenase-phosphopantetheinyl transferase
KOG0946	KOG0946	5	1.058762	0.000198	ER-Golgi vesicle-tethering protein p115
KOG0947	KOG0947	1	0.790865	0.000147	Cytoplasmic exosomal RNA helicase SKI2, DEAD-box superfamily
KOG0948	KOG0948	2	1.182516	0.000221	Nuclear exosomal RNA helicase MTR4, DEAD-box superfamily
KOG0949	KOG0949	1	0.426315	7.9e-05	Predicted helicase, DEAD-box superfamily
KOG0951	KOG0951	2	0.6816	0.000127	RNA helicase BRR2, DEAD-box superfamily
KOG0952	KOG0952	3	1.804878	0.000337	DNA/RNA helicase MER3/SLH1, DEAD-box superfamily
KOG0953	KOG0953	1	0.462857	8.6e-05	Mitochondrial RNA helicase SUV3, DEAD-box superfamily
KOG0954	KOG0954	2	0.379619	7.1e-05	PHD finger protein
KOG0955	KOG0955	2	0.239771	4.4e-05	PHD finger protein BR140/LIN-49
KOG0956	KOG0956	3	0.597777	0.000111	PHD finger protein AF10
KOG0957	KOG0957	1	0.140028	2.6e-05	PHD finger protein
KOG0958	KOG0958	3	0.811594	0.000151	DNA damage-responsive repressor GIS1/RPH1, jumonji superfamily
KOG0959	KOG0959	4	2.920944	0.000546	N-arginine dibasic convertase NRD1 and related Zn2+-dependent endopeptidases, insulinase superfamily
KOG0960	KOG0960	1	0.959314	0.000179	Mitochondrial processing peptidase, beta subunit, and related enzymes (insulinase superfamily)
KOG0962	KOG0962	8	1.658423	0.00031	DNA repair protein RAD50, ABC-type ATPase/SMC superfamily
KOG0963	KOG0963	6	2.883942	0.000539	Transcription factor/CCAAT displacement protein CDP1
KOG0964	KOG0964	5	1.9	0.000355	Structural maintenance of chromosome protein 3 (sister chromatid cohesion complex Cohesin, subunit SMC3)
KOG0965	KOG0965	1	0.086032	1.6e-05	Predicted RNA-binding protein, contains SWAP and G-patch domains
KOG0966	KOG0966	2	0.917139	0.000171	ATP-dependent DNA ligase IV
KOG0967	KOG0967	2	1.40196	0.000262	ATP-dependent DNA ligase I
KOG0968	KOG0968	1	0.491263	9.1e-05	DNA polymerase zeta, catalytic subunit
KOG0969	KOG0969	4	3.185741	0.000595	DNA polymerase delta, catalytic subunit
KOG0970	KOG0970	2	0.511546	9.5e-05	DNA polymerase alpha, catalytic subunit
KOG0971	KOG0971	12	1.263073	0.000236	Microtubule-associated protein dynactin DCTN1/Glued
KOG0972	KOG0972	1	0.908854	0.00017	Huntingtin interacting protein 1 (Hip1) interactor Hippi
KOG0973	KOG0973	1	0.543524	0.000101	Histone transcription regulator HIRA, WD repeat superfamily
KOG0974	KOG0974	1	0.086866	1.6e-05	WD-repeat protein WDR6, WD repeat superfamily
KOG0975	KOG0975	2	1.255936	0.000234	Branched chain aminotransferase BCAT1, pyridoxal phosphate enzymes type IV superfamily
KOG0976	KOG0976	18	4.260079	0.000796	Rho/Rac1-interacting serine/threonine kinase Citron
KOG0977	KOG0977	2	0.608058	0.000113	Nuclear envelope protein lamin, intermediate filament superfamily
KOG0978	KOG0978	2	0.141833	2.6e-05	E3 ubiquitin ligase involved in syntaxin degradation
KOG0979	KOG0979	8	2.135025	0.000399	Structural maintenance of chromosome protein SMC5/Spr18, SMC superfamily
KOG0980	KOG0980	8	1.444897	0.00027	Actin-binding protein SLA2/Huntingtin-interacting protein Hip1
KOG0981	KOG0981	3	1.274044	0.000238	DNA topoisomerase I
KOG0985	KOG0985	1	0.988595	0.000184	Vesicle coat protein clathrin, heavy chain
KOG0986	KOG0986	4	2.15736	0.000403	G protein-coupled receptor kinase
KOG0989	KOG0989	1	0.921965	0.000172	Replication factor C, subunit RFC4
KOG0990	KOG0990	1	0.930555	0.000174	Replication factor C, subunit RFC5
KOG0991	KOG0991	1	0.93093	0.000174	Replication factor C, subunit RFC2
KOG0994	KOG0994	39	5.594425	0.001046	Extracellular matrix glycoprotein Laminin subunit beta
KOG0995	KOG0995	5	1.437177	0.000268	Centromere-associated protein HEC1
KOG0996	KOG0996	20	4.044083	0.000756	Structural maintenance of chromosome protein 4 (chromosome condensation complex Condensin, subunit C)
KOG0997	KOG0997	1	0.543021	0.000101	Uncharacterized conserved protein Sand
KOG1000	KOG1000	5	2.539912	0.000475	Chromatin remodeling protein HARP/SMARCAL1, DEAD-box superfamily
KOG1001	KOG1001	3	1.813056	0.000339	Helicase-like transcription factor HLTF/DNA helicase RAD5, DEAD-box superfamily
KOG1002	KOG1002	3	1.5689	0.000293	Nucleotide excision repair protein RAD16
KOG1003	KOG1003	1	0.512195	9.5e-05	Actin filament-coating protein tropomyosin
KOG1004	KOG1004	1	0.904347	0.000169	Exosomal 3'-5' exoribonuclease complex subunit Rrp40
KOG1007	KOG1007	1	0.951351	0.000177	WD repeat protein TSSC1, WD repeat superfamily
KOG1008	KOG1008	1	0.969348	0.000181	Uncharacterized conserved protein, contains WD40 repeats
KOG1009	KOG1009	1	0.974654	0.000182	Chromatin assembly complex 1 subunit B/CAC2 (contains WD40 repeats)
KOG1010	KOG1010	1	0.580434	0.000108	Rb (Retinoblastoma tumor suppressor)-related protein
KOG1011	KOG1011	1	0.041309	7e-06	Neurotransmitter release regulator, UNC-13
KOG1014	KOG1014	2	1.64423	0.000307	17 beta-hydroxysteroid dehydrogenase type 3, HSD17B3
KOG1015	KOG1015	8	1.663688	0.000311	Transcription regulator XNP/ATRX, DEAD-box superfamily
KOG1018	KOG1018	6	3.863905	0.000722	Cytosine deaminase FCY1 and related enzymes
KOG1021	KOG1021	3	0.890086	0.000166	Acetylglucosaminyltransferase EXT1/exostosin 1
KOG1022	KOG1022	1	0.279305	5.2e-05	Acetylglucosaminyltransferase EXT2/exostosin 2
KOG1023	KOG1023	1	0.345041	6.4e-05	Natriuretic peptide receptor, guanylate cyclase
KOG1024	KOG1024	1	0.065009	1.2e-05	Receptor-like protein tyrosine kinase RYK/derailed
KOG1026	KOG1026	1	0.107235	2e-05	Nerve growth factor receptor TRKA and related tyrosine kinases
KOG1027	KOG1027	1	0.455149	8.5e-05	Serine/threonine protein kinase and endoribonuclease ERN1/IRE1, sensor of the unfolded protein response pathway
KOG1028	KOG1028	9	4.330166	0.00081	Ca2+-dependent phospholipid-binding protein Synaptotagmin, required for synaptic vesicle and secretory granule exocytosis
KOG1029	KOG1029	51	8.788014	0.001643	Endocytic adaptor protein intersectin
KOG1030	KOG1030	33	19.255952	0.003602	Predicted Ca2+-dependent phospholipid-binding protein
KOG1031	KOG1031	1	0.995722	0.000186	Predicted Ca2+-dependent phospholipid-binding protein
KOG1032	KOG1032	2	0.654237	0.000122	Uncharacterized conserved protein, contains GRAM domain
KOG1034	KOG1034	1	0.787012	0.000147	Transcriptional repressor EED/ESC/FIE, required for transcriptional silencing, WD repeat superfamily
KOG1035	KOG1035	5	0.891191	0.000166	eIF-2alpha kinase GCN2
KOG1036	KOG1036	2	1.427244	0.000266	Mitotic spindle checkpoint protein BUB3, WD repeat superfamily
KOG1037	KOG1037	3	2.274952	0.000425	NAD+ ADP-ribosyltransferase Parp, required for poly-ADP ribosylation of nuclear proteins
KOG1038	KOG1038	1	0.782169	0.000146	Mitochondrial/chloroplast DNA-directed RNA polymerase RPO41, provides primers for DNA replication-initiation
KOG1039	KOG1039	3	1.264534	0.000236	Predicted E3 ubiquitin ligase
KOG1040	KOG1040	2	0.624615	0.000116	Polyadenylation factor I complex, subunit, Yth1 (CPSF subunit)
KOG1043	KOG1043	2	1.06012	0.000198	Ca2+-binding transmembrane protein LETM1/MRS7
KOG1044	KOG1044	1	0.467164	8.7e-05	Actin-binding LIM Zn-finger protein Limatin involved in axon guidance
KOG1046	KOG1046	3	2.285883	0.000427	Puromycin-sensitive aminopeptidase and related aminopeptidases
KOG1047	KOG1047	1	0.993474	0.000185	Bifunctional leukotriene A4 hydrolase/aminopeptidase LTA4H
KOG1048	KOG1048	1	0.167364	3.1e-05	Neural adherens junction protein Plakophilin and related Armadillo repeat proteins
KOG1049	KOG1049	1	0.08736	1.6e-05	Polyadenylation factor I complex, subunit FIP1
KOG1050	KOG1050	3	2.859289	0.000534	Trehalose-6-phosphate synthase component TPS1 and related subunits
KOG1051	KOG1051	5	4.024498	0.000752	Chaperone HSP104 and related ATP-dependent Clp proteases
KOG1053	KOG1053	1	0.13434	2.5e-05	Glutamate-gated NMDA-type ion channel receptor subunit GRIN2A and related subunits
KOG1055	KOG1055	23	8.782658	0.001642	GABA-B ion channel receptor subunit GABABR1 and related subunits, G-protein coupled receptor superfamily
KOG1056	KOG1056	9	3.268792	0.000611	Glutamate-gated metabotropic ion channel receptor subunit GRM2 and related subunits, G-protein coupled receptor superfamily
KOG1057	KOG1057	1	0.901768	0.000168	Arp2/3 complex-interacting protein VIP1/Asp1, involved in regulation of actin cytoskeleton
KOG1058	KOG1058	1	0.994725	0.000186	Vesicle coat complex COPI, beta subunit
KOG1059	KOG1059	1	0.701254	0.000131	Vesicle coat complex AP-3, delta subunit
KOG1060	KOG1060	2	1.090909	0.000204	Vesicle coat complex AP-3, beta subunit
KOG1061	KOG1061	2	1.786103	0.000334	Vesicle coat complex AP-1/AP-2/AP-4, beta subunit
KOG1062	KOG1062	2	1.839491	0.000344	Vesicle coat complex AP-1, gamma subunit
KOG1063	KOG1063	1	0.112565	2.1e-05	RNA polymerase II elongator complex, subunit ELP2, WD repeat superfamily
KOG1064	KOG1064	1	0.610906	0.000114	RAVE (regulator of V-ATPase assembly) complex subunit RAV1/DMX protein, WD repeat superfamily
KOG1065	KOG1065	3	1.568944	0.000293	Maltase glucoamylase and related hydrolases, glycosyl hydrolase family 31
KOG1066	KOG1066	4	2.067759	0.000386	Glucosidase II catalytic (alpha) subunit and related enzymes, glycosyl hydrolase family 31
KOG1067	KOG1067	2	1.507894	0.000282	Predicted RNA-binding polyribonucleotide nucleotidyltransferase
KOG1068	KOG1068	2	1.779591	0.000332	Exosomal 3'-5' exoribonuclease complex, subunit Rrp41 and related exoribonucleases
KOG1069	KOG1069	1	0.695852	0.00013	Exosomal 3'-5' exoribonuclease complex, subunit Rrp46
KOG1070	KOG1070	2	0.928654	0.000173	rRNA processing protein Rrp5
KOG1071	KOG1071	1	0.717647	0.000134	Mitochondrial translation elongation factor EF-Tsmt, catalyzes nucleotide exchange on EF-Tumt
KOG1073	KOG1073	1	0.202216	3.7e-05	Uncharacterized mRNA-associated protein RAP55
KOG1074	KOG1074	1	0.10334	1.9e-05	Transcriptional repressor SALM
KOG1076	KOG1076	1	0.911032	0.00017	Translation initiation factor 3, subunit c (eIF-3c)
KOG1077	KOG1077	1	0.635394	0.000118	Vesicle coat complex AP-2, alpha subunit
KOG1078	KOG1078	1	0.990751	0.000185	Vesicle coat complex COPI, gamma subunit
KOG1079	KOG1079	1	0.156968	2.9e-05	Transcriptional repressor EZH1
KOG1080	KOG1080	3	0.258706	4.8e-05	Histone H3 (Lys4) methyltransferase complex, subunit SET1 and related methyltransferases
KOG1082	KOG1082	1	0.346153	6.4e-05	Histone H3 (Lys9) methyltransferase SUV39H1/Clr4, required for transcriptional silencing
KOG1085	KOG1085	1	0.767857	0.000143	Predicted methyltransferase (contains a SET domain)
KOG1087	KOG1087	2	1.204255	0.000225	Cytosolic sorting protein GGA2/TOM1
KOG1088	KOG1088	1	1	0.000187	Uncharacterized conserved protein
KOG1089	KOG1089	1	0.633507	0.000118	Myotubularin-related phosphatidylinositol 3-phosphate 3-phosphatase MTM6
KOG1090	KOG1090	3	0.352193	6.5e-05	Predicted dual-specificity phosphatase
KOG1091	KOG1091	2	1.1056	0.000206	Ypt/Rab-specific GTPase-activating protein GYP6
KOG1092	KOG1092	2	1.291322	0.000241	Ypt/Rab-specific GTPase-activating protein GYP1
KOG1093	KOG1093	3	0.900689	0.000168	Predicted protein kinase (contains TBC and RHOD domains)
KOG1096	KOG1096	1	0.654947	0.000122	Adenosine monophosphate deaminase
KOG1097	KOG1097	2	1.867167	0.000349	Adenine deaminase/adenosine deaminase
KOG1098	KOG1098	1	1	0.000187	Putative SAM-dependent rRNA methyltransferase SPB1
KOG1099	KOG1099	1	0.972789	0.000181	SAM-dependent methyltransferase/cell division protein FtsJ
KOG1100	KOG1100	2	0.942028	0.000176	Predicted E3 ubiquitin ligase
KOG1102	KOG1102	1	0.632241	0.000118	Rab6 GTPase activator GAPCenA and related TBC domain proteins
KOG1103	KOG1103	2	0.59893	0.000112	Predicted coiled-coil protein
KOG1104	KOG1104	1	0.787878	0.000147	Nuclear cap-binding complex, subunit NCBP1/CBP80
KOG1105	KOG1105	3	1.618243	0.000302	Transcription elongation factor TFIIS/Cofactor of enhancer-binding protein Sp1
KOG1106	KOG1106	1	0.937853	0.000175	Uncharacterized conserved protein
KOG1107	KOG1107	1	0.981578	0.000183	Membrane coat complex Retromer, subunit VPS35
KOG1108	KOG1108	3	1.11032	0.000207	Predicted heme/steroid binding protein
KOG1109	KOG1109	1	0.65909	0.000123	Vacuole membrane protein VMP1
KOG1110	KOG1110	2	1.245901	0.000233	Putative steroid membrane receptor Hpr6.6/25-Dx
KOG1111	KOG1111	4	1.807511	0.000338	N-acetylglucosaminyltransferase complex, subunit PIG-A/SPT14, required for phosphatidylinositol biosynthesis/Sulfolipid synthase
KOG1112	KOG1112	2	1.998743	0.000373	Ribonucleotide reductase, alpha subunit
KOG1113	KOG1113	11	5.266304	0.000985	cAMP-dependent protein kinase types I and II, regulatory subunit
KOG1114	KOG1114	1	0.356595	6.6e-05	Tripeptidyl peptidase II
KOG1116	KOG1116	4	2.542314	0.000475	Sphingosine kinase, involved in sphingolipid metabolism
KOG1118	KOG1118	3	0.494535	9.2e-05	Lysophosphatidic acid acyltransferase endophilin/SH3GL, involved in synaptic vesicle formation
KOG1119	KOG1119	1	0.663316	0.000124	Mitochondrial Fe-S cluster biosynthesis protein ISA2 (contains a HesB-like domain)
KOG1120	KOG1120	1	0.843283	0.000157	Fe-S cluster biosynthesis protein ISA1 (contains a HesB-like domain)
KOG1122	KOG1122	1	0.819565	0.000153	tRNA and rRNA cytosine-C5-methylase (nucleolar protein NOL1/NOP2)
KOG1123	KOG1123	2	1.689432	0.000316	RNA polymerase II transcription initiation/nucleotide excision repair factor TFIIH, 3'-5' helicase subunit SSL2
KOG1125	KOG1125	3	1.160621	0.000217	TPR repeat-containing protein
KOG1126	KOG1126	1	0.503134	9.4e-05	DNA-binding cell division cycle control protein
KOG1127	KOG1127	1	0.116316	2.1e-05	TPR repeat-containing protein
KOG1128	KOG1128	3	0.962676	0.00018	Uncharacterized conserved protein, contains TPR repeats
KOG1129	KOG1129	2	1.135983	0.000212	TPR repeat-containing protein
KOG1130	KOG1130	3	1.316118	0.000246	Predicted G-alpha GTPase interaction protein, contains GoLoco domain
KOG1131	KOG1131	1	0.990728	0.000185	RNA polymerase II transcription initiation/nucleotide excision repair factor TFIIH, 5'-3' helicase subunit RAD3
KOG1132	KOG1132	4	2.118518	0.000396	Helicase of the DEAD superfamily
KOG1133	KOG1133	1	0.982947	0.000183	Helicase of the DEAD superfamily
KOG1134	KOG1134	6	3.146978	0.000588	Uncharacterized conserved protein
KOG1135	KOG1135	1	0.807591	0.000151	mRNA cleavage and polyadenylation factor II complex, subunit CFT2 (CPSF subunit)
KOG1137	KOG1137	1	0.875748	0.000163	mRNA cleavage and polyadenylation factor II complex, BRR5 (CPSF subunit)
KOG1140	KOG1140	7	1.460874	0.000273	N-end rule pathway, recognition component UBR1
KOG1142	KOG1142	1	0.282945	5.2e-05	Transcription initiation factor TFIID, subunit TAF12 (also component of histone acetyltransferase SAGA)
KOG1143	KOG1143	1	0.905245	0.000169	Predicted translation elongation factor
KOG1144	KOG1144	15	3.601503	0.000673	Translation initiation factor 5B (eIF-5B)
KOG1145	KOG1145	1	0.818448	0.000153	Mitochondrial translation initiation factor 2 (IF-2; GTPase)
KOG1147	KOG1147	1	0.91573	0.000171	Glutamyl-tRNA synthetase
KOG1148	KOG1148	1	0.705497	0.000131	Glutaminyl-tRNA synthetase
KOG1149	KOG1149	1	0.912213	0.00017	Glutamyl-tRNA synthetase (mitochondrial)
KOG1150	KOG1150	1	0.808	0.000151	Predicted molecular chaperone (DnaJ superfamily)
KOG1151	KOG1151	1	0.436129	8.1e-05	Tousled-like protein kinase
KOG1152	KOG1152	1	0.056994	1e-05	Signal transduction serine/threonine kinase with PAS/PAC sensor domain
KOG1153	KOG1153	13	6.431137	0.001203	Subtilisin-related protease/Vacuolar protease B
KOG1154	KOG1154	1	0.894736	0.000167	Gamma-glutamyl kinase
KOG1155	KOG1155	1	0.919499	0.000172	Anaphase-promoting complex (APC), Cdc23 subunit
KOG1156	KOG1156	1	0.994285	0.000185	N-terminal acetyltransferase
KOG1158	KOG1158	6	3.796899	0.00071	NADP/FAD dependent oxidoreductase
KOG1159	KOG1159	1	0.993031	0.000185	NADP-dependent flavoprotein reductase
KOG1160	KOG1160	1	0.918469	0.000171	Fe-S oxidoreductase
KOG1161	KOG1161	6	3.138709	0.000587	Protein involved in vacuolar polyphosphate accumulation, contains SPX domain
KOG1162	KOG1162	4	1.948136	0.000364	Predicted small molecule transporter
KOG1163	KOG1163	1	0.791788	0.000148	Casein kinase (serine/threonine/tyrosine protein kinase)
KOG1164	KOG1164	19	8.251552	0.001543	Casein kinase (serine/threonine/tyrosine protein kinase)
KOG1166	KOG1166	2	0.457905	8.5e-05	Mitotic checkpoint serine/threonine protein kinase
KOG1167	KOG1167	5	0.636363	0.000119	Serine/threonine protein kinase of the CDC7 subfamily involved in DNA synthesis, repair and recombination
KOG1169	KOG1169	3	1.318611	0.000246	Diacylglycerol kinase
KOG1170	KOG1170	3	0.406733	7.6e-05	Diacylglycerol kinase
KOG1171	KOG1171	4	1.174876	0.000219	Metallothionein-like protein
KOG1173	KOG1173	1	0.363338	6.7e-05	Anaphase-promoting complex (APC), Cdc16 subunit
KOG1174	KOG1174	1	0.914893	0.000171	Anaphase-promoting complex (APC), subunit 7
KOG1175	KOG1175	2	1.929712	0.00036	Acyl-CoA synthetase
KOG1176	KOG1176	15	13.368715	0.0025	Acyl-CoA synthetase
KOG1177	KOG1177	2	1.424496	0.000266	Long chain fatty acid acyl-CoA ligase
KOG1178	KOG1178	6	3.943798	0.000737	Non-ribosomal peptide synthetase/alpha-aminoadipate reductase and related enzymes
KOG1179	KOG1179	4	3.516178	0.000657	Very long-chain acyl-CoA synthetase/fatty acid transporter
KOG1180	KOG1180	1	0.976401	0.000182	Acyl-CoA synthetase
KOG1182	KOG1182	1	0.877314	0.000164	Branched chain alpha-keto acid dehydrogenase complex, alpha subunit
KOG1183	KOG1183	1	0.288924	5.4e-05	N-acetylglucosaminyltransferase complex, subunit PIG-Q/GPI1, required for phosphatidylinositol biosynthesis
KOG1185	KOG1185	3	2.915936	0.000545	Thiamine pyrophosphate-requiring enzyme
KOG1187	KOG1187	2	0.778393	0.000145	Serine/threonine protein kinase
KOG1188	KOG1188	1	0.800531	0.000149	WD40 repeat protein
KOG1189	KOG1189	3	1.147916	0.000214	Global transcriptional regulator, cell division control protein
KOG1191	KOG1191	1	0.809792	0.000151	Mitochondrial GTPase
KOG1192	KOG1192	8	2.917763	0.000545	UDP-glucuronosyl and UDP-glucosyl transferase
KOG1196	KOG1196	2	1.784256	0.000333	Predicted NAD-dependent oxidoreductase
KOG1197	KOG1197	4	3.568452	0.000667	Predicted quinone oxidoreductase
KOG1198	KOG1198	18	16.201729	0.00303	Zinc-binding oxidoreductase
KOG1199	KOG1199	2	1.946153	0.000364	Short-chain alcohol dehydrogenase/3-hydroxyacyl-CoA dehydrogenase
KOG1200	KOG1200	5	4.132812	0.000773	Mitochondrial/plastidial beta-ketoacyl-ACP reductase
KOG1201	KOG1201	7	4.95	0.000925	Hydroxysteroid 17-beta dehydrogenase 11
KOG1202	KOG1202	9	1.407828	0.000263	Animal-type fatty acid synthase and related proteins
KOG1203	KOG1203	3	1.170316	0.000218	Predicted dehydrogenase
KOG1205	KOG1205	11	8.74468	0.001635	Predicted dehydrogenase
KOG1206	KOG1206	3	1.621323	0.000303	Peroxisomal multifunctional beta-oxidation protein and related enzymes
KOG1208	KOG1208	18	14.745222	0.002758	Dehydrogenases with different specificities (related to short-chain alcohol dehydrogenases)
KOG1210	KOG1210	1	0.821752	0.000153	Predicted 3-ketosphinganine reductase
KOG1211	KOG1211	3	2.086956	0.00039	Amidases
KOG1212	KOG1212	2	1.939285	0.000362	Amidases
KOG1213	KOG1213	1	0.15798	2.9e-05	Sister chromatid cohesion complex Cohesin, subunit RAD21/SCC1
KOG1217	KOG1217	4	2.632443	0.000492	Fibrillins and related proteins containing Ca2+-binding EGF-like domains
KOG1218	KOG1218	1	0.367088	6.8e-05	Proteins containing Ca2+-binding EGF-like domains
KOG1219	KOG1219	5	0.127069	2.3e-05	Uncharacterized conserved protein, contains laminin, cadherin and EGF domains
KOG1220	KOG1220	1	0.963756	0.00018	Phosphoglucomutase/phosphomannomutase
KOG1221	KOG1221	1	0.985401	0.000184	Acyl-CoA reductase
KOG1222	KOG1222	1	0.677623	0.000126	Kinesin associated protein KAP
KOG1223	KOG1223	1	0.519685	9.7e-05	Isochorismate synthase
KOG1224	KOG1224	1	0.971316	0.000181	Para-aminobenzoate (PABA) synthase ABZ1
KOG1225	KOG1225	23	4.478095	0.000837	Teneurin-1 and related extracellular matrix proteins, contain EGF-like repeats
KOG1226	KOG1226	7	1.022988	0.000191	Integrin beta subunit (N-terminal portion of extracellular region)
KOG1227	KOG1227	1	0.74074	0.000138	Putative methyltransferase
KOG1228	KOG1228	1	0.8125	0.000151	Uncharacterized conserved protein
KOG1230	KOG1230	1	0.598848	0.000112	Protein containing repeated kelch motifs
KOG1231	KOG1231	1	0.926732	0.000173	Proteins containing the FAD binding domain
KOG1232	KOG1232	1	0.90998	0.00017	Proteins containing the FAD binding domain
KOG1233	KOG1233	1	0.929853	0.000173	Alkyl-dihydroxyacetonephosphate synthase
KOG1234	KOG1234	2	1.355371	0.000253	ABC (ATP binding cassette) 1 protein
KOG1235	KOG1235	9	5.972118	0.001117	Predicted unusual protein kinase
KOG1236	KOG1236	1	0.846017	0.000158	Predicted unusual protein kinase
KOG1237	KOG1237	4	3.665499	0.000685	H+/oligopeptide symporter
KOG1238	KOG1238	10	7.841091	0.001466	Glucose dehydrogenase/choline dehydrogenase/mandelonitrile lyase (GMC oxidoreductase family)
KOG1239	KOG1239	2	1.23387	0.00023	Inner membrane protein translocase involved in respiratory chain assembly
KOG1240	KOG1240	1	0.983228	0.000183	Protein kinase containing WD40 repeats
KOG1241	KOG1241	1	0.880093	0.000164	Karyopherin (importin) beta 1
KOG1242	KOG1242	5	3.244288	0.000606	Protein containing adaptin N-terminal region
KOG1243	KOG1243	1	0.742028	0.000138	Protein kinase
KOG1244	KOG1244	2	0.25	4.6e-05	Predicted transcription factor Requiem/NEURO-D4
KOG1245	KOG1245	2	0.094729	1.7e-05	Chromatin remodeling complex WSTF-ISWI, large subunit (contains heterochromatin localization, PHD and BROMO domains)
KOG1246	KOG1246	1	0.356194	6.6e-05	DNA-binding protein jumonji/RBP2/SMCY, contains JmjC domain
KOG1248	KOG1248	1	0.954931	0.000178	Uncharacterized conserved protein
KOG1250	KOG1250	3	2.269146	0.000424	Threonine/serine dehydratases
KOG1251	KOG1251	1	0.931888	0.000174	Serine racemase
KOG1252	KOG1252	3	2.696132	0.000504	Cystathionine beta-synthase and related enzymes
KOG1253	KOG1253	1	0.965714	0.00018	tRNA methyltransferase
KOG1255	KOG1255	1	0.899696	0.000168	Succinyl-CoA synthetase, alpha subunit
KOG1256	KOG1256	9	8.043415	0.001504	Long-chain acyl-CoA synthetases (AMP-forming)
KOG1257	KOG1257	2	1.852233	0.000346	NADP+-dependent malic enzyme
KOG1259	KOG1259	6	1.632653	0.000305	Nischarin, modulator of integrin alpha5 subunit action
KOG1260	KOG1260	2	1.991869	0.000372	Isocitrate lyase
KOG1261	KOG1261	2	1.217391	0.000227	Malate synthase
KOG1262	KOG1262	1	0.942909	0.000176	FAD-binding protein DIMINUTO
KOG1263	KOG1263	2	1.049733	0.000196	Multicopper oxidases
KOG1264	KOG1264	1	0.163378	3e-05	Phospholipase C
KOG1265	KOG1265	6	0.902439	0.000168	Phospholipase C
KOG1268	KOG1268	4	2.755223	0.000515	Glucosamine 6-phosphate synthetases, contain amidotransferase and phosphosugar isomerase domains
KOG1269	KOG1269	3	1.623626	0.000303	SAM-dependent methyltransferases
KOG1270	KOG1270	13	5.702127	0.001066	Methyltransferases
KOG1271	KOG1271	1	0.766519	0.000143	Methyltransferases
KOG1272	KOG1272	1	0.968807	0.000181	WD40-repeat-containing subunit of the 18S rRNA processing complex
KOG1273	KOG1273	1	0.274074	5.1e-05	WD40 repeat protein
KOG1274	KOG1274	2	0.708467	0.000132	WD40 repeat protein
KOG1275	KOG1275	1	0.823792	0.000154	PAB-dependent poly(A) ribonuclease, subunit PAN2
KOG1276	KOG1276	1	0.977596	0.000182	Protoporphyrinogen oxidase
