#transcriptId	proteinId	kogid	kogdefline	kogClass	kogGroup
119640	119640	KOG3450	Huntingtin interacting protein HYPK	General function prediction only 	POORLY CHARACTERIZED
45930	45930	KOG2992	Nucleolar GTPase/ATPase p130	Nuclear structure 	CELLULAR PROCESSES AND SIGNALING
46061	46061	KOG2992	Nucleolar GTPase/ATPase p130	Nuclear structure 	CELLULAR PROCESSES AND SIGNALING
46369	46369	KOG2992	Nucleolar GTPase/ATPase p130	Nuclear structure 	CELLULAR PROCESSES AND SIGNALING
46672	46672	KOG2992	Nucleolar GTPase/ATPase p130	Nuclear structure 	CELLULAR PROCESSES AND SIGNALING
46673	46673	KOG2992	Nucleolar GTPase/ATPase p130	Nuclear structure 	CELLULAR PROCESSES AND SIGNALING
47334	47334	KOG2992	Nucleolar GTPase/ATPase p130	Nuclear structure 	CELLULAR PROCESSES AND SIGNALING
47511	47511	KOG2992	Nucleolar GTPase/ATPase p130	Nuclear structure 	CELLULAR PROCESSES AND SIGNALING
47734	47734	KOG2992	Nucleolar GTPase/ATPase p130	Nuclear structure 	CELLULAR PROCESSES AND SIGNALING
48017	48017	KOG2992	Nucleolar GTPase/ATPase p130	Nuclear structure 	CELLULAR PROCESSES AND SIGNALING
48068	48068	KOG2992	Nucleolar GTPase/ATPase p130	Nuclear structure 	CELLULAR PROCESSES AND SIGNALING
48151	48151	KOG2992	Nucleolar GTPase/ATPase p130	Nuclear structure 	CELLULAR PROCESSES AND SIGNALING
48577	48577	KOG2992	Nucleolar GTPase/ATPase p130	Nuclear structure 	CELLULAR PROCESSES AND SIGNALING
67298	67298	KOG2992	Nucleolar GTPase/ATPase p130	Nuclear structure 	CELLULAR PROCESSES AND SIGNALING
113918	113918	KOG2992	Nucleolar GTPase/ATPase p130	Nuclear structure 	CELLULAR PROCESSES AND SIGNALING
114373	114373	KOG2992	Nucleolar GTPase/ATPase p130	Nuclear structure 	CELLULAR PROCESSES AND SIGNALING
114596	114596	KOG2992	Nucleolar GTPase/ATPase p130	Nuclear structure 	CELLULAR PROCESSES AND SIGNALING
114787	114787	KOG2992	Nucleolar GTPase/ATPase p130	Nuclear structure 	CELLULAR PROCESSES AND SIGNALING
114923	114923	KOG2992	Nucleolar GTPase/ATPase p130	Nuclear structure 	CELLULAR PROCESSES AND SIGNALING
115085	115085	KOG2992	Nucleolar GTPase/ATPase p130	Nuclear structure 	CELLULAR PROCESSES AND SIGNALING
115127	115127	KOG2992	Nucleolar GTPase/ATPase p130	Nuclear structure 	CELLULAR PROCESSES AND SIGNALING
115888	115888	KOG2992	Nucleolar GTPase/ATPase p130	Nuclear structure 	CELLULAR PROCESSES AND SIGNALING
116547	116547	KOG2992	Nucleolar GTPase/ATPase p130	Nuclear structure 	CELLULAR PROCESSES AND SIGNALING
117202	117202	KOG2992	Nucleolar GTPase/ATPase p130	Nuclear structure 	CELLULAR PROCESSES AND SIGNALING
117500	117500	KOG2992	Nucleolar GTPase/ATPase p130	Nuclear structure 	CELLULAR PROCESSES AND SIGNALING
117881	117881	KOG2992	Nucleolar GTPase/ATPase p130	Nuclear structure 	CELLULAR PROCESSES AND SIGNALING
118277	118277	KOG2992	Nucleolar GTPase/ATPase p130	Nuclear structure 	CELLULAR PROCESSES AND SIGNALING
118565	118565	KOG2992	Nucleolar GTPase/ATPase p130	Nuclear structure 	CELLULAR PROCESSES AND SIGNALING
119483	119483	KOG2992	Nucleolar GTPase/ATPase p130	Nuclear structure 	CELLULAR PROCESSES AND SIGNALING
128135	128135	KOG2992	Nucleolar GTPase/ATPase p130	Nuclear structure 	CELLULAR PROCESSES AND SIGNALING
128165	128165	KOG2992	Nucleolar GTPase/ATPase p130	Nuclear structure 	CELLULAR PROCESSES AND SIGNALING
128855	128855	KOG2992	Nucleolar GTPase/ATPase p130	Nuclear structure 	CELLULAR PROCESSES AND SIGNALING
129308	129308	KOG2992	Nucleolar GTPase/ATPase p130	Nuclear structure 	CELLULAR PROCESSES AND SIGNALING
129813	129813	KOG2992	Nucleolar GTPase/ATPase p130	Nuclear structure 	CELLULAR PROCESSES AND SIGNALING
130146	130146	KOG2992	Nucleolar GTPase/ATPase p130	Nuclear structure 	CELLULAR PROCESSES AND SIGNALING
130819	130819	KOG2992	Nucleolar GTPase/ATPase p130	Nuclear structure 	CELLULAR PROCESSES AND SIGNALING
131013	131013	KOG2992	Nucleolar GTPase/ATPase p130	Nuclear structure 	CELLULAR PROCESSES AND SIGNALING
131773	131773	KOG2992	Nucleolar GTPase/ATPase p130	Nuclear structure 	CELLULAR PROCESSES AND SIGNALING
133107	133107	KOG2992	Nucleolar GTPase/ATPase p130	Nuclear structure 	CELLULAR PROCESSES AND SIGNALING
134359	134359	KOG2992	Nucleolar GTPase/ATPase p130	Nuclear structure 	CELLULAR PROCESSES AND SIGNALING
134663	134663	KOG2992	Nucleolar GTPase/ATPase p130	Nuclear structure 	CELLULAR PROCESSES AND SIGNALING
135574	135574	KOG2992	Nucleolar GTPase/ATPase p130	Nuclear structure 	CELLULAR PROCESSES AND SIGNALING
136119	136119	KOG2992	Nucleolar GTPase/ATPase p130	Nuclear structure 	CELLULAR PROCESSES AND SIGNALING
136168	136168	KOG2992	Nucleolar GTPase/ATPase p130	Nuclear structure 	CELLULAR PROCESSES AND SIGNALING
136375	136375	KOG2992	Nucleolar GTPase/ATPase p130	Nuclear structure 	CELLULAR PROCESSES AND SIGNALING
136584	136584	KOG2992	Nucleolar GTPase/ATPase p130	Nuclear structure 	CELLULAR PROCESSES AND SIGNALING
136838	136838	KOG2992	Nucleolar GTPase/ATPase p130	Nuclear structure 	CELLULAR PROCESSES AND SIGNALING
136987	136987	KOG2992	Nucleolar GTPase/ATPase p130	Nuclear structure 	CELLULAR PROCESSES AND SIGNALING
137048	137048	KOG2992	Nucleolar GTPase/ATPase p130	Nuclear structure 	CELLULAR PROCESSES AND SIGNALING
137400	137400	KOG2992	Nucleolar GTPase/ATPase p130	Nuclear structure 	CELLULAR PROCESSES AND SIGNALING
137759	137759	KOG2992	Nucleolar GTPase/ATPase p130	Nuclear structure 	CELLULAR PROCESSES AND SIGNALING
137768	137768	KOG2992	Nucleolar GTPase/ATPase p130	Nuclear structure 	CELLULAR PROCESSES AND SIGNALING
137786	137786	KOG2992	Nucleolar GTPase/ATPase p130	Nuclear structure 	CELLULAR PROCESSES AND SIGNALING
137913	137913	KOG2992	Nucleolar GTPase/ATPase p130	Nuclear structure 	CELLULAR PROCESSES AND SIGNALING
138064	138064	KOG2992	Nucleolar GTPase/ATPase p130	Nuclear structure 	CELLULAR PROCESSES AND SIGNALING
138082	138082	KOG2992	Nucleolar GTPase/ATPase p130	Nuclear structure 	CELLULAR PROCESSES AND SIGNALING
138114	138114	KOG2992	Nucleolar GTPase/ATPase p130	Nuclear structure 	CELLULAR PROCESSES AND SIGNALING
138263	138263	KOG2992	Nucleolar GTPase/ATPase p130	Nuclear structure 	CELLULAR PROCESSES AND SIGNALING
138352	138352	KOG2992	Nucleolar GTPase/ATPase p130	Nuclear structure 	CELLULAR PROCESSES AND SIGNALING
138408	138408	KOG2992	Nucleolar GTPase/ATPase p130	Nuclear structure 	CELLULAR PROCESSES AND SIGNALING
138669	138669	KOG2992	Nucleolar GTPase/ATPase p130	Nuclear structure 	CELLULAR PROCESSES AND SIGNALING
138799	138799	KOG2992	Nucleolar GTPase/ATPase p130	Nuclear structure 	CELLULAR PROCESSES AND SIGNALING
138856	138856	KOG2992	Nucleolar GTPase/ATPase p130	Nuclear structure 	CELLULAR PROCESSES AND SIGNALING
139130	139130	KOG2992	Nucleolar GTPase/ATPase p130	Nuclear structure 	CELLULAR PROCESSES AND SIGNALING
139191	139191	KOG2992	Nucleolar GTPase/ATPase p130	Nuclear structure 	CELLULAR PROCESSES AND SIGNALING
139437	139437	KOG2992	Nucleolar GTPase/ATPase p130	Nuclear structure 	CELLULAR PROCESSES AND SIGNALING
139526	139526	KOG2992	Nucleolar GTPase/ATPase p130	Nuclear structure 	CELLULAR PROCESSES AND SIGNALING
139577	139577	KOG2992	Nucleolar GTPase/ATPase p130	Nuclear structure 	CELLULAR PROCESSES AND SIGNALING
139796	139796	KOG2992	Nucleolar GTPase/ATPase p130	Nuclear structure 	CELLULAR PROCESSES AND SIGNALING
140223	140223	KOG2992	Nucleolar GTPase/ATPase p130	Nuclear structure 	CELLULAR PROCESSES AND SIGNALING
140729	140729	KOG2992	Nucleolar GTPase/ATPase p130	Nuclear structure 	CELLULAR PROCESSES AND SIGNALING
140836	140836	KOG2992	Nucleolar GTPase/ATPase p130	Nuclear structure 	CELLULAR PROCESSES AND SIGNALING
140886	140886	KOG2992	Nucleolar GTPase/ATPase p130	Nuclear structure 	CELLULAR PROCESSES AND SIGNALING
141037	141037	KOG2992	Nucleolar GTPase/ATPase p130	Nuclear structure 	CELLULAR PROCESSES AND SIGNALING
141318	141318	KOG2992	Nucleolar GTPase/ATPase p130	Nuclear structure 	CELLULAR PROCESSES AND SIGNALING
141341	141341	KOG2992	Nucleolar GTPase/ATPase p130	Nuclear structure 	CELLULAR PROCESSES AND SIGNALING
141503	141503	KOG2992	Nucleolar GTPase/ATPase p130	Nuclear structure 	CELLULAR PROCESSES AND SIGNALING
141701	141701	KOG2992	Nucleolar GTPase/ATPase p130	Nuclear structure 	CELLULAR PROCESSES AND SIGNALING
141731	141731	KOG2992	Nucleolar GTPase/ATPase p130	Nuclear structure 	CELLULAR PROCESSES AND SIGNALING
141819	141819	KOG2992	Nucleolar GTPase/ATPase p130	Nuclear structure 	CELLULAR PROCESSES AND SIGNALING
141828	141828	KOG2992	Nucleolar GTPase/ATPase p130	Nuclear structure 	CELLULAR PROCESSES AND SIGNALING
141976	141976	KOG2992	Nucleolar GTPase/ATPase p130	Nuclear structure 	CELLULAR PROCESSES AND SIGNALING
142033	142033	KOG2992	Nucleolar GTPase/ATPase p130	Nuclear structure 	CELLULAR PROCESSES AND SIGNALING
142072	142072	KOG2992	Nucleolar GTPase/ATPase p130	Nuclear structure 	CELLULAR PROCESSES AND SIGNALING
142243	142243	KOG2992	Nucleolar GTPase/ATPase p130	Nuclear structure 	CELLULAR PROCESSES AND SIGNALING
142485	142485	KOG2992	Nucleolar GTPase/ATPase p130	Nuclear structure 	CELLULAR PROCESSES AND SIGNALING
142489	142489	KOG2992	Nucleolar GTPase/ATPase p130	Nuclear structure 	CELLULAR PROCESSES AND SIGNALING
142529	142529	KOG2992	Nucleolar GTPase/ATPase p130	Nuclear structure 	CELLULAR PROCESSES AND SIGNALING
142798	142798	KOG2992	Nucleolar GTPase/ATPase p130	Nuclear structure 	CELLULAR PROCESSES AND SIGNALING
142833	142833	KOG2992	Nucleolar GTPase/ATPase p130	Nuclear structure 	CELLULAR PROCESSES AND SIGNALING
143068	143068	KOG2992	Nucleolar GTPase/ATPase p130	Nuclear structure 	CELLULAR PROCESSES AND SIGNALING
143143	143143	KOG2992	Nucleolar GTPase/ATPase p130	Nuclear structure 	CELLULAR PROCESSES AND SIGNALING
143504	143504	KOG2992	Nucleolar GTPase/ATPase p130	Nuclear structure 	CELLULAR PROCESSES AND SIGNALING
143600	143600	KOG2992	Nucleolar GTPase/ATPase p130	Nuclear structure 	CELLULAR PROCESSES AND SIGNALING
143693	143693	KOG2992	Nucleolar GTPase/ATPase p130	Nuclear structure 	CELLULAR PROCESSES AND SIGNALING
144441	144441	KOG2992	Nucleolar GTPase/ATPase p130	Nuclear structure 	CELLULAR PROCESSES AND SIGNALING
144919	144919	KOG2992	Nucleolar GTPase/ATPase p130	Nuclear structure 	CELLULAR PROCESSES AND SIGNALING
145328	145328	KOG2992	Nucleolar GTPase/ATPase p130	Nuclear structure 	CELLULAR PROCESSES AND SIGNALING
145856	145856	KOG2992	Nucleolar GTPase/ATPase p130	Nuclear structure 	CELLULAR PROCESSES AND SIGNALING
146136	146136	KOG2992	Nucleolar GTPase/ATPase p130	Nuclear structure 	CELLULAR PROCESSES AND SIGNALING
146214	146214	KOG2992	Nucleolar GTPase/ATPase p130	Nuclear structure 	CELLULAR PROCESSES AND SIGNALING
146903	146903	KOG2992	Nucleolar GTPase/ATPase p130	Nuclear structure 	CELLULAR PROCESSES AND SIGNALING
146964	146964	KOG2992	Nucleolar GTPase/ATPase p130	Nuclear structure 	CELLULAR PROCESSES AND SIGNALING
147231	147231	KOG2992	Nucleolar GTPase/ATPase p130	Nuclear structure 	CELLULAR PROCESSES AND SIGNALING
149306	149306	KOG2992	Nucleolar GTPase/ATPase p130	Nuclear structure 	CELLULAR PROCESSES AND SIGNALING
149307	149307	KOG2992	Nucleolar GTPase/ATPase p130	Nuclear structure 	CELLULAR PROCESSES AND SIGNALING
149434	149434	KOG2992	Nucleolar GTPase/ATPase p130	Nuclear structure 	CELLULAR PROCESSES AND SIGNALING
149841	149841	KOG2992	Nucleolar GTPase/ATPase p130	Nuclear structure 	CELLULAR PROCESSES AND SIGNALING
151330	151330	KOG2992	Nucleolar GTPase/ATPase p130	Nuclear structure 	CELLULAR PROCESSES AND SIGNALING
151390	151390	KOG2992	Nucleolar GTPase/ATPase p130	Nuclear structure 	CELLULAR PROCESSES AND SIGNALING
41777	41777	KOG2989	Uncharacterized conserved protein	Function unknown 	POORLY CHARACTERIZED
1874	1874	KOG2988	60S ribosomal protein L30	"Translation, ribosomal structure and biogenesis "	INFORMATION STORAGE AND PROCESSING
136893	136893	KOG2987	Fatty acid desaturase	Lipid transport and metabolism 	METABOLISM
138729	138729	KOG2987	Fatty acid desaturase	Lipid transport and metabolism 	METABOLISM
136051	136051	KOG2986	Uncharacterized conserved protein	Function unknown 	POORLY CHARACTERIZED
29648	29648	KOG2985	Uncharacterized conserved protein	Function unknown 	POORLY CHARACTERIZED
36373	36373	KOG2985	Uncharacterized conserved protein	Function unknown 	POORLY CHARACTERIZED
38497	38497	KOG2985	Uncharacterized conserved protein	Function unknown 	POORLY CHARACTERIZED
135467	135467	KOG2985	Uncharacterized conserved protein	Function unknown 	POORLY CHARACTERIZED
47443	47443	KOG2983	Uncharacterized conserved protein	Function unknown 	POORLY CHARACTERIZED
136541	136541	KOG2981	Protein involved in autophagocytosis during starvation	General function prediction only 	POORLY CHARACTERIZED
138243	138243	KOG2979	Protein involved in DNA repair	General function prediction only 	POORLY CHARACTERIZED
42101	42101	KOG2980	Integral membrane protease of the rhomboid family involved in different forms of regulated intramembrane proteolysis	Signal transduction mechanisms 	CELLULAR PROCESSES AND SIGNALING
46245	46245	KOG2978	Dolichol-phosphate mannosyltransferase	General function prediction only 	POORLY CHARACTERIZED
33830	33830	KOG2977	Glycosyltransferase	General function prediction only 	POORLY CHARACTERIZED
80577	80577	KOG2977	Glycosyltransferase	General function prediction only 	POORLY CHARACTERIZED
112022	112022	KOG2977	Glycosyltransferase	General function prediction only 	POORLY CHARACTERIZED
140510	140510	KOG2976	Protein involved in autophagy and nutrient starvation	"Posttranslational modification, protein turnover, chaperones "	CELLULAR PROCESSES AND SIGNALING
45223	45223	KOG2975	"Translation initiation factor 3, subunit f (eIF-3f)"	"Translation, ribosomal structure and biogenesis "	INFORMATION STORAGE AND PROCESSING
137046	137046	KOG2974	Uncharacterized conserved protein	Function unknown 	POORLY CHARACTERIZED
10398	10398	KOG2973	Uncharacterized conserved protein	Function unknown 	POORLY CHARACTERIZED
104965	104965	KOG2972	Uncharacterized conserved protein	Function unknown 	POORLY CHARACTERIZED
42120	42120	KOG2971	RNA-binding protein required for biogenesis of the ribosomal 60S subunit	"Translation, ribosomal structure and biogenesis "	INFORMATION STORAGE AND PROCESSING
80525	80525	KOG2969	Uncharacterized conserved protein	Function unknown 	POORLY CHARACTERIZED
141660	141660	KOG2968	"Predicted esterase of the alpha-beta hydrolase superfamily (Neuropathy target esterase), contains cAMP-binding domains"	General function prediction only 	POORLY CHARACTERIZED
54453	54453	KOG2967	Uncharacterized conserved protein	Function unknown 	POORLY CHARACTERIZED
51129	51129	KOG2965	Arginase	Amino acid transport and metabolism 	METABOLISM
85606	85606	KOG2965	Arginase	Amino acid transport and metabolism 	METABOLISM
140296	140296	KOG2965	Arginase	Amino acid transport and metabolism 	METABOLISM
33973	33973	KOG2966	Uncharacterized conserved protein	General function prediction only 	POORLY CHARACTERIZED
128420	128420	KOG2966	Uncharacterized conserved protein	General function prediction only 	POORLY CHARACTERIZED
145521	145521	KOG2966	Uncharacterized conserved protein	General function prediction only 	POORLY CHARACTERIZED
138995	138995	KOG2963	RNA-binding protein required for 60S ribosomal subunit biogenesis	"Translation, ribosomal structure and biogenesis "	INFORMATION STORAGE AND PROCESSING
75700	75700	KOG2961	Predicted hydrolase (HAD superfamily)	General function prediction only 	POORLY CHARACTERIZED
41753	41753	KOG2957	"Vacuolar H+-ATPase V0 sector, subunit d"	Energy production and conversion 	METABOLISM
5168	5168	KOG2956	CLIP-associating protein	General function prediction only 	POORLY CHARACTERIZED
41044	41044	KOG2956	CLIP-associating protein	General function prediction only 	POORLY CHARACTERIZED
47289	47289	KOG2953	mRNA-binding protein Encore	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
45760	45760	KOG2951	Inositol monophosphatase	Carbohydrate transport and metabolism 	METABOLISM
133719	133719	KOG2950	"Uncharacterized protein involved in protein-protein interaction, contains polyproline-binding GYF domain"	General function prediction only 	POORLY CHARACTERIZED
43118	43118	KOG2949	Ketopantoate hydroxymethyltransferase	Coenzyme transport and metabolism 	METABOLISM
139799	139799	KOG2948	Predicted metal-binding protein	General function prediction only 	POORLY CHARACTERIZED
129737	129737	KOG2947	Carbohydrate kinase	Carbohydrate transport and metabolism 	METABOLISM
69911	69911	KOG2946	Uncharacterized conserved protein	Function unknown 	POORLY CHARACTERIZED
136651	136651	KOG2945	Predicted RNA-binding protein	General function prediction only 	POORLY CHARACTERIZED
42278	42278	KOG2944	Glyoxalase	Carbohydrate transport and metabolism 	METABOLISM
136697	136697	KOG2944	Glyoxalase	Carbohydrate transport and metabolism 	METABOLISM
119880	119880	KOG2942	Uncharacterized conserved protein	Function unknown 	POORLY CHARACTERIZED
136448	136448	KOG2942	Uncharacterized conserved protein	Function unknown 	POORLY CHARACTERIZED
139801	139801	KOG2942	Uncharacterized conserved protein	Function unknown 	POORLY CHARACTERIZED
126409	126409	KOG2941	"Beta-1,4-mannosyltransferase"	"Posttranslational modification, protein turnover, chaperones "	CELLULAR PROCESSES AND SIGNALING
121543	121543	KOG2940	Predicted methyltransferase	General function prediction only 	POORLY CHARACTERIZED
56525	56525	KOG2938	Predicted inosine-uridine preferring nucleoside hydrolase	Nucleotide transport and metabolism 	METABOLISM
68009	68009	KOG2937	"Decapping enzyme complex, predicted pyrophosphatase DCP2"	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
80434	80434	KOG2935	Ataxin 3/Josephin	General function prediction only 	POORLY CHARACTERIZED
137360	137360	KOG2933	Uncharacterized conserved protein	Function unknown 	POORLY CHARACTERIZED
117711	117711	KOG2930	"SCF ubiquitin ligase, Rbx1 component"	"Posttranslational modification, protein turnover, chaperones "	CELLULAR PROCESSES AND SIGNALING
47310	47310	KOG2929	"Transcription factor, component of CCR4 transcriptional complex"	Transcription 	INFORMATION STORAGE AND PROCESSING
148566	148566	KOG2928	"Origin recognition complex, subunit 2"	"Replication, recombination and repair "	INFORMATION STORAGE AND PROCESSING
139127	139127	KOG2927	Membrane component of ER protein translocation complex	"Intracellular trafficking, secretion, and vesicular transport "	CELLULAR PROCESSES AND SIGNALING
62164	62164	KOG2926	Malonyl-CoA:ACP transacylase	Lipid transport and metabolism 	METABOLISM
72672	72672	KOG2926	Malonyl-CoA:ACP transacylase	Lipid transport and metabolism 	METABOLISM
83486	83486	KOG2926	Malonyl-CoA:ACP transacylase	Lipid transport and metabolism 	METABOLISM
131064	131064	KOG2926	Malonyl-CoA:ACP transacylase	Lipid transport and metabolism 	METABOLISM
136216	136216	KOG2925	Predicted translation initiation factor related to eIF-1A	"Translation, ribosomal structure and biogenesis "	INFORMATION STORAGE AND PROCESSING
46461	46461	KOG2924	Deoxyhypusine synthase	"Posttranslational modification, protein turnover, chaperones "	CELLULAR PROCESSES AND SIGNALING
50364	50364	KOG2923	Uncharacterized conserved protein	Function unknown 	POORLY CHARACTERIZED
4814	4814	KOG2922	Uncharacterized conserved protein	Function unknown 	POORLY CHARACTERIZED
10767	10767	KOG2922	Uncharacterized conserved protein	Function unknown 	POORLY CHARACTERIZED
37322	37322	KOG2922	Uncharacterized conserved protein	Function unknown 	POORLY CHARACTERIZED
43275	43275	KOG2922	Uncharacterized conserved protein	Function unknown 	POORLY CHARACTERIZED
45187	45187	KOG2922	Uncharacterized conserved protein	Function unknown 	POORLY CHARACTERIZED
46038	46038	KOG2922	Uncharacterized conserved protein	Function unknown 	POORLY CHARACTERIZED
47888	47888	KOG2922	Uncharacterized conserved protein	Function unknown 	POORLY CHARACTERIZED
49729	49729	KOG2922	Uncharacterized conserved protein	Function unknown 	POORLY CHARACTERIZED
51744	51744	KOG2922	Uncharacterized conserved protein	Function unknown 	POORLY CHARACTERIZED
62845	62845	KOG2922	Uncharacterized conserved protein	Function unknown 	POORLY CHARACTERIZED
80137	80137	KOG2922	Uncharacterized conserved protein	Function unknown 	POORLY CHARACTERIZED
88727	88727	KOG2922	Uncharacterized conserved protein	Function unknown 	POORLY CHARACTERIZED
137063	137063	KOG2922	Uncharacterized conserved protein	Function unknown 	POORLY CHARACTERIZED
138178	138178	KOG2922	Uncharacterized conserved protein	Function unknown 	POORLY CHARACTERIZED
141178	141178	KOG2922	Uncharacterized conserved protein	Function unknown 	POORLY CHARACTERIZED
137949	137949	KOG2920	Predicted methyltransferase	General function prediction only 	POORLY CHARACTERIZED
140541	140541	KOG2920	Predicted methyltransferase	General function prediction only 	POORLY CHARACTERIZED
142337	142337	KOG2920	Predicted methyltransferase	General function prediction only 	POORLY CHARACTERIZED
58564	58564	KOG2919	Guanine nucleotide-binding protein	General function prediction only 	POORLY CHARACTERIZED
78516	78516	KOG2918	Carboxymethyl transferase	"Posttranslational modification, protein turnover, chaperones "	CELLULAR PROCESSES AND SIGNALING
47163	47163	KOG2917	Predicted exosome subunit	"Translation, ribosomal structure and biogenesis "	INFORMATION STORAGE AND PROCESSING
44810	44810	KOG2916	"Translation initiation factor 2, alpha subunit (eIF-2alpha)"	"Translation, ribosomal structure and biogenesis "	INFORMATION STORAGE AND PROCESSING
136652	136652	KOG2915	"tRNA(1-methyladenosine) methyltransferase, subunit GCD14"	"Translation, ribosomal structure and biogenesis "	INFORMATION STORAGE AND PROCESSING
44415	44415	KOG2914	Predicted haloacid-halidohydrolase and related hydrolases	General function prediction only 	POORLY CHARACTERIZED
9700	9700	KOG2912	Predicted DNA methylase	Function unknown 	POORLY CHARACTERIZED
45441	45441	KOG2913	Predicted membrane protein	Function unknown 	POORLY CHARACTERIZED
138645	138645	KOG2910	Uncharacterized conserved protein predicted to be involved in protein sorting	General function prediction only 	POORLY CHARACTERIZED
137849	137849	KOG2908	"26S proteasome regulatory complex, subunit RPN9/PSMD13"	"Posttranslational modification, protein turnover, chaperones "	CELLULAR PROCESSES AND SIGNALING
44883	44883	KOG2909	"Vacuolar H+-ATPase V1 sector, subunit C"	Energy production and conversion 	METABOLISM
44713	44713	KOG2906	RNA polymerase III subunit C11	Transcription 	INFORMATION STORAGE AND PROCESSING
43912	43912	KOG2907	"RNA polymerase I transcription factor TFIIS, subunit A12.2/RPA12"	Transcription 	INFORMATION STORAGE AND PROCESSING
138754	138754	KOG2905	"Transcription initiation factor IIF, small subunit (RAP30)"	Transcription 	INFORMATION STORAGE AND PROCESSING
140951	140951	KOG2904	Predicted methyltransferase	General function prediction only 	POORLY CHARACTERIZED
145465	145465	KOG2904	Predicted methyltransferase	General function prediction only 	POORLY CHARACTERIZED
2883	2883	KOG2903	Predicted glutathione S-transferase	"Posttranslational modification, protein turnover, chaperones "	CELLULAR PROCESSES AND SIGNALING
79330	79330	KOG2903	Predicted glutathione S-transferase	"Posttranslational modification, protein turnover, chaperones "	CELLULAR PROCESSES AND SIGNALING
140213	140213	KOG2903	Predicted glutathione S-transferase	"Posttranslational modification, protein turnover, chaperones "	CELLULAR PROCESSES AND SIGNALING
78950	78950	KOG2902	Dihydroorotase	Nucleotide transport and metabolism 	METABOLISM
46654	46654	KOG2901	Uncharacterized conserved protein	Function unknown 	POORLY CHARACTERIZED
10713	10713	KOG2900	Biotin synthase	Coenzyme transport and metabolism 	METABOLISM
141489	141489	KOG2899	Predicted methyltransferase	General function prediction only 	POORLY CHARACTERIZED
136549	136549	KOG2898	"Predicted phosphate acyltransferase, contains PlsC domain"	Lipid transport and metabolism 	METABOLISM
1137	1137	KOG2897	DNA-binding protein YL1 and related proteins	General function prediction only 	POORLY CHARACTERIZED
49445	49445	KOG2897	DNA-binding protein YL1 and related proteins	General function prediction only 	POORLY CHARACTERIZED
137955	137955	KOG2896	UV radiation resistance associated protein	General function prediction only 	POORLY CHARACTERIZED
44061	44061	KOG2895	Uncharacterized conserved protein	Function unknown 	POORLY CHARACTERIZED
74753	74753	KOG2895	Uncharacterized conserved protein	Function unknown 	POORLY CHARACTERIZED
78021	78021	KOG2895	Uncharacterized conserved protein	Function unknown 	POORLY CHARACTERIZED
61082	61082	KOG2893	Zn finger protein	General function prediction only 	POORLY CHARACTERIZED
47783	47783	KOG2894	Uncharacterized conserved protein XAP-5	Function unknown 	POORLY CHARACTERIZED
56703	56703	KOG2892	Porphobilinogen deaminase	Coenzyme transport and metabolism 	METABOLISM
139603	139603	KOG2892	Porphobilinogen deaminase	Coenzyme transport and metabolism 	METABOLISM
81986	81986	KOG2889	Predicted PRP38-like splicing factor	Function unknown 	POORLY CHARACTERIZED
42015	42015	KOG2888	Putative RNA binding protein	General function prediction only 	POORLY CHARACTERIZED
43552	43552	KOG2887	Membrane protein involved in ER to Golgi transport	"Intracellular trafficking, secretion, and vesicular transport "	CELLULAR PROCESSES AND SIGNALING
137803	137803	KOG2887	Membrane protein involved in ER to Golgi transport	"Intracellular trafficking, secretion, and vesicular transport "	CELLULAR PROCESSES AND SIGNALING
142121	142121	KOG2887	Membrane protein involved in ER to Golgi transport	"Intracellular trafficking, secretion, and vesicular transport "	CELLULAR PROCESSES AND SIGNALING
49839	49839	KOG2886	Uncharacterized conserved protein	Function unknown 	POORLY CHARACTERIZED
41917	41917	KOG2885	Uncharacterized conserved protein	Function unknown 	POORLY CHARACTERIZED
92676	92676	KOG2884	"26S proteasome regulatory complex, subunit RPN10/PSMD4"	"Posttranslational modification, protein turnover, chaperones "	CELLULAR PROCESSES AND SIGNALING
68492	68492	KOG2882	p-Nitrophenyl phosphatase	Inorganic ion transport and metabolism 	METABOLISM
81358	81358	KOG2882	p-Nitrophenyl phosphatase	Inorganic ion transport and metabolism 	METABOLISM
74258	74258	KOG2881	Predicted membrane protein	Function unknown 	POORLY CHARACTERIZED
85887	85887	KOG2881	Predicted membrane protein	Function unknown 	POORLY CHARACTERIZED
41937	41937	KOG2879	Predicted E3 ubiquitin ligase	"Posttranslational modification, protein turnover, chaperones "	CELLULAR PROCESSES AND SIGNALING
70494	70494	KOG2877	"sn-1,2-diacylglycerol ethanolamine- and cholinephosphotranferases"	Lipid transport and metabolism 	METABOLISM
82287	82287	KOG2877	"sn-1,2-diacylglycerol ethanolamine- and cholinephosphotranferases"	Lipid transport and metabolism 	METABOLISM
114109	114109	KOG2876	Molybdenum cofactor biosynthesis pathway protein	Coenzyme transport and metabolism 	METABOLISM
136417	136417	KOG2876	Molybdenum cofactor biosynthesis pathway protein	Coenzyme transport and metabolism 	METABOLISM
57136	57136	KOG2875	8-oxoguanine DNA glycosylase	"Replication, recombination and repair "	INFORMATION STORAGE AND PROCESSING
